prospect_id,rep_id,company_name,company_size,lead_source,product_interest,quarter,created_date,status,meetings_held,closed_date,proposed_value_usd,closed_value_usd
PROS-00033,REP-0062,Nimbus Digital,51-200,LinkedIn,Cloud Storage,Q2 2026,2026-04-08,Dead,1,,8700,
PROS-00034,REP-0032,Atlas Industries,1000-5000,Cold Outreach,Security Suite,Q2 2026,2026-04-14,Won,5,2026-06-25,78400,93600
PROS-00035,REP-0076,Anchor Systems,1-50,Paid Marketing,Data Analytics,Q1 2026,2026-01-25,Lost,3,2026-02-04,10200,
PROS-00036,REP-0044,Catalyst Technologies,51-200,Paid Marketing,AI Platform,Q4 2025,2025-12-15,Lost,5,2026-01-02,36200,
PROS-00037,REP-0046,Helix Dynamics,201-1000,LinkedIn,Cloud Compute,Q4 2025,2025-12-06,Won,4,2025-12-25,45200,53500
PROS-00038,REP-0091,Ember Technologies,201-1000,Paid Marketing,Data Analytics,Q2 2026,2026-06-13,Open,2,,29000,
PROS-00039,REP-0088,Solace Partners,51-200,Inbound Call,Cloud Compute,Q2 2026,2026-06-27,Open,0,,21000,
PROS-00040,REP-0070,Vertex Systems,201-1000,Cold Outreach,Data Analytics,Q4 2025,2025-12-29,Lost,5,2026-01-22,24300,
PROS-00041,REP-0106,Nimbus Systems,51-200,Referral,Data Analytics,Q1 2026,2026-01-18,Dead,0,,22900,
PROS-00042,REP-0087,Fusion Digital,1000-5000,Paid Marketing,AI Platform,Q2 2026,2026-06-08,Lost,3,2026-06-28,118400,
PROS-00043,REP-0072,Orbit Networks,201-1000,Referral,AI Platform,Q2 2026,2026-04-07,Won,6,2026-04-29,47200,49600
PROS-00044,REP-0003,Horizon Holdings,1-50,Website Inquiry,Cloud Compute,Q2 2026,2026-05-19,Lost,3,2026-05-30,7300,
PROS-00045,REP-0060,Drift Holdings,1000-5000,Paid Marketing,Cloud Compute,Q1 2026,2026-01-24,Lost,5,2026-04-15,68600,
PROS-00046,REP-0079,Nimbus Dynamics,51-200,Conference,Security Suite,Q2 2026,2026-04-03,Lost,4,2026-04-15,45400,
PROS-00047,REP-0066,Vertex Industries,201-1000,Cold Outreach,Security Suite,Q1 2026,2026-03-07,Dead,0,,66100,
PROS-00048,REP-0100,Fusion Holdings,201-1000,Cold Outreach,AI Platform,Q4 2025,2025-10-01,Dead,0,,99800,
PROS-00049,REP-0089,Pulse Group,1-50,Cold Outreach,Cloud Compute,Q2 2026,2026-06-04,Open,3,,8900,
PROS-00050,REP-0081,Vantage Digital,1-50,Conference,Cloud Compute,Q1 2026,2026-03-09,Lost,2,2026-03-20,12900,
PROS-00051,REP-0085,Lattice Holdings,1000-5000,LinkedIn,AI Platform,Q2 2026,2026-04-21,Lost,3,2026-06-30,87700,
PROS-00052,REP-0089,Meridian Partners,51-200,Website Inquiry,Data Analytics,Q4 2025,2025-11-15,Dead,2,,26400,
PROS-00053,REP-0071,Northgate Partners,201-1000,Paid Marketing,AI Platform,Q4 2025,2025-11-23,Dead,0,,78100,
PROS-00054,REP-0066,Orbit Networks,201-1000,Website Inquiry,Security Suite,Q4 2025,2025-11-23,Lost,3,2025-12-12,54800,
PROS-00055,REP-0106,Ridgeline Partners,201-1000,Website Inquiry,Data Analytics,Q2 2026,2026-04-19,Dead,0,,25200,
PROS-00056,REP-0089,Vantage Networks,1-50,Paid Marketing,Cloud Compute,Q4 2025,2025-11-30,Lost,3,2025-12-16,7000,
PROS-00057,REP-0097,Beacon Solutions,201-1000,Website Inquiry,Security Suite,Q1 2026,2026-03-17,Won,3,2026-05-01,48300,57000
PROS-00058,REP-0057,Orbit Technologies,201-1000,Conference,Data Analytics,Q1 2026,2026-03-18,Won,8,2026-05-06,45000,48900
PROS-00059,REP-0074,Meridian Group,201-1000,Paid Marketing,Data Analytics,Q4 2025,2025-12-02,Lost,5,2025-12-20,43100,
PROS-00060,REP-0083,Cobalt Technologies,201-1000,Paid Marketing,Cloud Compute,Q4 2025,2025-12-10,Lost,5,2025-12-31,26300,
PROS-00061,REP-0088,Ridgeline Technologies,1-50,Conference,Cloud Compute,Q4 2025,2025-12-16,Won,3,2025-12-27,17600,15600
PROS-00062,REP-0075,Vertex Digital,201-1000,Website Inquiry,Cloud Storage,Q1 2026,2026-02-28,Dead,1,,15600,
PROS-00063,REP-0032,Apex Labs,1000-5000,Inbound Call,Data Analytics,Q4 2025,2025-10-12,Won,7,2025-11-14,87100,100500
PROS-00064,REP-0008,Solace Systems,51-200,LinkedIn,Cloud Storage,Q4 2025,2025-12-04,Lost,4,2026-01-23,13000,
PROS-00065,REP-0106,Atlas Group,201-1000,Conference,Cloud Compute,Q1 2026,2026-01-04,Lost,3,2026-02-07,17400,
PROS-00066,REP-0107,Catalyst Dynamics,201-1000,Paid Marketing,Cloud Compute,Q4 2025,2025-10-27,Won,5,2025-11-15,18100,16100
PROS-00067,REP-0105,Solace Solutions,201-1000,LinkedIn,Cloud Compute,Q1 2026,2026-02-10,Won,6,2026-03-13,39300,44100
PROS-00068,REP-0002,Helix Works,1000-5000,Paid Marketing,Cloud Storage,Q2 2026,2026-06-16,Open,0,,18200,
PROS-00069,REP-0007,Redshift Systems,201-1000,Website Inquiry,Data Analytics,Q2 2026,2026-05-27,Open,0,,42700,
PROS-00070,REP-0012,Nova Works,1-50,Website Inquiry,AI Platform,Q2 2026,2026-06-01,Open,1,,34900,
PROS-00071,REP-0072,Quantum Technologies,51-200,Conference,Data Analytics,Q1 2026,2026-02-23,Lost,3,2026-04-09,24600,
PROS-00072,REP-0007,Nova Digital,51-200,Cold Outreach,Cloud Compute,Q1 2026,2026-01-05,Won,6,2026-02-13,14300,12400
PROS-00073,REP-0098,Granite Group,51-200,Cold Outreach,AI Platform,Q2 2026,2026-05-13,Won,3,2026-06-03,59000,63100
PROS-00074,REP-0012,Anchor Labs,51-200,LinkedIn,Cloud Storage,Q1 2026,2026-01-14,Dead,1,,14600,
PROS-00075,REP-0028,Nova Works,51-200,Inbound Call,Data Analytics,Q1 2026,2026-02-13,Lost,2,2026-03-09,40800,
PROS-00076,REP-0089,Granite Solutions,1-50,LinkedIn,Cloud Compute,Q1 2026,2026-01-04,Lost,3,2026-01-13,12600,
PROS-00077,REP-0004,Catalyst Partners,51-200,Cold Outreach,Data Analytics,Q4 2025,2025-10-20,Lost,2,2025-11-03,39600,
PROS-00078,REP-0078,Sterling Partners,51-200,Cold Outreach,Data Analytics,Q2 2026,2026-05-11,Lost,5,2026-06-13,19600,
PROS-00079,REP-0012,Catalyst Works,1-50,Paid Marketing,Cloud Storage,Q1 2026,2026-01-28,Dead,2,,3900,
PROS-00080,REP-0041,Sterling Solutions,201-1000,Paid Marketing,Cloud Compute,Q1 2026,2026-01-21,Lost,3,2026-02-26,36300,
PROS-00081,REP-0016,Quantum Industries,1000-5000,Paid Marketing,Cloud Storage,Q1 2026,2026-02-16,Lost,2,2026-03-26,22500,
PROS-00082,REP-0055,Apex Labs,5000+,LinkedIn,Cloud Storage,Q2 2026,2026-05-28,Open,0,,26800,
PROS-00083,REP-0070,Catalyst Holdings,201-1000,Inbound Call,AI Platform,Q2 2026,2026-05-15,Won,6,2026-06-15,65000,70900
PROS-00084,REP-0102,Pulse Solutions,1-50,Conference,Cloud Storage,Q1 2026,2026-01-26,Lost,3,2026-02-13,4900,
PROS-00085,REP-0095,Apex Works,1-50,Inbound Call,Security Suite,Q4 2025,2025-12-16,Won,2,2025-12-28,23600,27900
PROS-00086,REP-0043,Orbit Labs,201-1000,Inbound Call,AI Platform,Q1 2026,2026-02-18,Dead,0,,109500,
PROS-00087,REP-0046,Apex Solutions,1000-5000,Website Inquiry,Cloud Storage,Q2 2026,2026-05-06,Dead,0,,19900,
PROS-00088,REP-0056,Helix Systems,1-50,LinkedIn,AI Platform,Q1 2026,2026-01-28,Dead,1,,21000,
PROS-00089,REP-0070,Redshift Holdings,201-1000,Website Inquiry,Cloud Compute,Q1 2026,2026-02-17,Lost,5,2026-03-20,37400,
PROS-00090,REP-0095,Fusion Labs,1-50,LinkedIn,Cloud Compute,Q4 2025,2025-10-01,Lost,3,2025-10-15,18600,
PROS-00091,REP-0067,Ironclad Labs,5000+,LinkedIn,AI Platform,Q1 2026,2026-02-01,Dead,1,,137800,
PROS-00092,REP-0038,Granite Digital,1000-5000,Conference,Security Suite,Q1 2026,2026-02-25,Lost,2,2026-03-29,79800,
PROS-00093,REP-0021,Catalyst Systems,51-200,Paid Marketing,Cloud Compute,Q2 2026,2026-05-30,Open,0,,10500,
PROS-00094,REP-0021,Pulse Technologies,51-200,Website Inquiry,AI Platform,Q2 2026,2026-05-04,Lost,3,2026-05-26,63900,
PROS-00095,REP-0024,Atlas Holdings,51-200,Website Inquiry,Data Analytics,Q4 2025,2025-12-04,Dead,2,,34600,
PROS-00096,REP-0043,Ember Works,1000-5000,Inbound Call,Security Suite,Q4 2025,2025-12-19,Lost,5,2026-01-28,53800,
PROS-00097,REP-0086,Helix Technologies,51-200,Paid Marketing,Cloud Compute,Q4 2025,2025-10-31,Lost,3,2025-12-05,23200,
PROS-00098,REP-0069,Atlas Dynamics,201-1000,Inbound Call,Cloud Compute,Q4 2025,2025-11-22,Dead,0,,18600,
PROS-00099,REP-0091,Vertex Networks,1000-5000,Paid Marketing,Data Analytics,Q4 2025,2025-10-25,Lost,4,2025-12-13,40700,
PROS-00100,REP-0100,Fusion Digital,1000-5000,Cold Outreach,Cloud Storage,Q1 2026,2026-02-19,Lost,3,2026-03-19,19600,
PROS-00101,REP-0108,Pulse Partners,201-1000,Paid Marketing,Cloud Storage,Q1 2026,2026-01-26,Lost,5,2026-02-02,22200,
PROS-00102,REP-0015,Quantum Digital,201-1000,LinkedIn,Security Suite,Q1 2026,2026-03-16,Won,4,2026-04-02,64800,63400
PROS-00103,REP-0096,Cobalt Dynamics,1-50,Paid Marketing,Cloud Storage,Q1 2026,2026-01-21,Dead,1,,7800,
PROS-00104,REP-0062,Redshift Industries,51-200,Cold Outreach,Cloud Storage,Q1 2026,2026-02-01,Lost,5,2026-02-22,8900,
PROS-00105,REP-0088,Solace Systems,1-50,Paid Marketing,AI Platform,Q2 2026,2026-04-08,Dead,1,,54700,
PROS-00106,REP-0070,Quantum Technologies,201-1000,Cold Outreach,Cloud Compute,Q2 2026,2026-05-01,Lost,2,2026-05-18,23700,
PROS-00107,REP-0029,Atlas Partners,51-200,LinkedIn,Data Analytics,Q4 2025,2025-10-06,Lost,5,2025-11-22,22900,
PROS-00108,REP-0082,Cobalt Networks,201-1000,LinkedIn,Data Analytics,Q1 2026,2026-02-19,Dead,0,,22600,
PROS-00109,REP-0092,Helix Dynamics,5000+,Paid Marketing,AI Platform,Q2 2026,2026-05-05,Lost,2,2026-06-29,212500,
PROS-00110,REP-0042,Pulse Partners,1-50,Paid Marketing,AI Platform,Q1 2026,2026-02-08,Lost,5,2026-02-16,26900,
PROS-00111,REP-0017,Meridian Systems,201-1000,Website Inquiry,AI Platform,Q2 2026,2026-05-12,Lost,3,2026-06-10,71400,
PROS-00112,REP-0056,Northgate Group,201-1000,Paid Marketing,Cloud Compute,Q1 2026,2026-01-10,Lost,4,2026-01-27,19800,
PROS-00113,REP-0017,Vantage Dynamics,201-1000,Inbound Call,AI Platform,Q1 2026,2026-03-10,Lost,4,2026-03-29,49500,
PROS-00114,REP-0104,Atlas Industries,1000-5000,Cold Outreach,Cloud Compute,Q2 2026,2026-05-22,Won,4,2026-06-29,44800,52600
PROS-00115,REP-0030,Orbit Technologies,1000-5000,LinkedIn,Cloud Compute,Q1 2026,2026-02-11,Lost,2,2026-04-22,70600,
PROS-00116,REP-0095,Quantum Works,1-50,Paid Marketing,AI Platform,Q2 2026,2026-05-31,Open,1,,34500,
PROS-00117,REP-0020,Cobalt Solutions,1000-5000,Inbound Call,AI Platform,Q2 2026,2026-05-05,Lost,2,2026-06-28,71500,
PROS-00118,REP-0110,Quantum Dynamics,1000-5000,Paid Marketing,AI Platform,Q1 2026,2026-01-02,Lost,4,2026-01-21,137700,
PROS-00119,REP-0036,Meridian Dynamics,51-200,Cold Outreach,Cloud Compute,Q1 2026,2026-03-20,Lost,5,2026-04-07,37800,
PROS-00120,REP-0042,Catalyst Labs,1-50,Paid Marketing,Security Suite,Q2 2026,2026-05-19,Dead,0,,13100,
PROS-00121,REP-0107,Orbit Dynamics,201-1000,Cold Outreach,Security Suite,Q1 2026,2026-03-06,Lost,2,2026-04-19,75900,
PROS-00122,REP-0005,Atlas Holdings,1-50,Cold Outreach,Security Suite,Q2 2026,2026-05-07,Lost,5,2026-05-21,34200,
PROS-00123,REP-0064,Vertex Industries,201-1000,Paid Marketing,Data Analytics,Q2 2026,2026-04-17,Lost,5,2026-05-22,49300,
PROS-00124,REP-0109,Wavefront Technologies,51-200,LinkedIn,Security Suite,Q2 2026,2026-04-25,Lost,2,2026-05-06,56600,
PROS-00125,REP-0039,Apex Works,5000+,Paid Marketing,AI Platform,Q2 2026,2026-05-22,Won,8,2026-06-30,315000,345800
PROS-00126,REP-0029,Pulse Holdings,1000-5000,Referral,Cloud Storage,Q1 2026,2026-01-08,Dead,0,,14100,
PROS-00127,REP-0099,Redshift Works,201-1000,Inbound Call,Security Suite,Q1 2026,2026-01-22,Dead,0,,97800,
PROS-00128,REP-0032,Cobalt Networks,5000+,Paid Marketing,Security Suite,Q2 2026,2026-06-13,Lost,5,2026-06-29,216100,
PROS-00129,REP-0071,Redshift Industries,1000-5000,Cold Outreach,AI Platform,Q4 2025,2025-12-07,Lost,4,2026-01-25,162400,
PROS-00130,REP-0064,Ironclad Networks,201-1000,Paid Marketing,AI Platform,Q4 2025,2025-11-11,Lost,5,2025-12-26,126100,
PROS-00131,REP-0025,Drift Group,201-1000,Website Inquiry,Cloud Compute,Q1 2026,2026-03-05,Dead,0,,43700,
PROS-00132,REP-0064,Summit Industries,201-1000,Cold Outreach,Cloud Compute,Q2 2026,2026-04-18,Lost,5,2026-05-29,23800,
PROS-00133,REP-0099,Ridgeline Technologies,201-1000,Inbound Call,Cloud Storage,Q1 2026,2026-02-11,Lost,5,2026-03-15,20200,
PROS-00134,REP-0054,Catalyst Holdings,1000-5000,Referral,AI Platform,Q4 2025,2025-12-21,Won,5,2026-01-13,276600,274400
PROS-00135,REP-0003,Nova Partners,51-200,Paid Marketing,Data Analytics,Q4 2025,2025-12-21,Dead,0,,30400,
PROS-00136,REP-0074,Pulse Solutions,201-1000,Cold Outreach,Cloud Storage,Q1 2026,2026-03-15,Lost,5,2026-04-27,16700,
PROS-00137,REP-0033,Vantage Technologies,1000-5000,Cold Outreach,Cloud Compute,Q2 2026,2026-05-07,Dead,0,,53000,
PROS-00138,REP-0063,Anchor Group,1-50,Paid Marketing,Cloud Compute,Q1 2026,2026-02-12,Lost,4,2026-02-27,14100,
PROS-00139,REP-0068,Ridgeline Solutions,1000-5000,LinkedIn,Cloud Storage,Q4 2025,2025-11-18,Lost,5,2025-12-03,26800,
PROS-00140,REP-0012,Northgate Works,51-200,Inbound Call,AI Platform,Q1 2026,2026-03-21,Dead,0,,79600,
PROS-00141,REP-0063,Vantage Works,1-50,Inbound Call,Cloud Compute,Q2 2026,2026-05-28,Open,0,,13500,
PROS-00142,REP-0046,Northgate Systems,201-1000,Conference,Cloud Storage,Q2 2026,2026-05-03,Won,3,2026-05-24,10000,10300
PROS-00143,REP-0068,Vantage Group,201-1000,Inbound Call,Cloud Compute,Q1 2026,2026-01-23,Lost,5,2026-03-03,27900,
PROS-00144,REP-0077,Ridgeline Partners,1-50,Conference,Cloud Compute,Q1 2026,2026-01-28,Won,2,2026-02-17,20800,19700
PROS-00145,REP-0011,Meridian Works,51-200,LinkedIn,Cloud Compute,Q2 2026,2026-05-02,Lost,3,2026-05-25,21100,
PROS-00146,REP-0015,Nimbus Holdings,1-50,Inbound Call,Cloud Storage,Q4 2025,2025-12-06,Won,4,2025-12-18,7900,8600
PROS-00147,REP-0069,Sterling Systems,201-1000,LinkedIn,Cloud Storage,Q2 2026,2026-06-28,Open,2,,19600,
PROS-00148,REP-0044,Meridian Partners,51-200,Paid Marketing,Cloud Compute,Q2 2026,2026-04-30,Lost,5,2026-05-21,24700,
PROS-00149,REP-0105,Beacon Labs,201-1000,Cold Outreach,Cloud Compute,Q1 2026,2026-02-01,Lost,4,2026-02-20,19200,
PROS-00150,REP-0033,Nimbus Works,5000+,Paid Marketing,Security Suite,Q1 2026,2026-03-11,Dead,0,,169300,
PROS-00151,REP-0062,Ember Holdings,1-50,Paid Marketing,AI Platform,Q1 2026,2026-01-30,Dead,1,,16000,
PROS-00152,REP-0014,Sterling Labs,51-200,Paid Marketing,Security Suite,Q2 2026,2026-06-27,Open,1,,56400,
PROS-00153,REP-0086,Pulse Systems,201-1000,Cold Outreach,Cloud Compute,Q2 2026,2026-06-04,Open,0,,35200,
PROS-00154,REP-0001,Atlas Solutions,51-200,Website Inquiry,Security Suite,Q1 2026,2026-02-13,Lost,4,2026-03-18,63000,
PROS-00155,REP-0042,Orbit Digital,51-200,Inbound Call,AI Platform,Q1 2026,2026-02-14,Won,4,2026-03-06,84600,92300
PROS-00156,REP-0005,Sterling Works,51-200,Website Inquiry,Data Analytics,Q2 2026,2026-05-21,Lost,5,2026-06-06,32200,
PROS-00157,REP-0081,Meridian Dynamics,201-1000,Conference,Data Analytics,Q2 2026,2026-06-24,Open,0,,27900,
PROS-00158,REP-0109,Redshift Holdings,1-50,Cold Outreach,Cloud Storage,Q1 2026,2026-03-11,Dead,0,,9200,
PROS-00159,REP-0022,Zenith Solutions,1000-5000,Paid Marketing,Cloud Storage,Q4 2025,2025-12-14,Dead,0,,33300,
PROS-00160,REP-0089,Solace Works,1-50,Paid Marketing,Cloud Compute,Q2 2026,2026-05-16,Dead,1,,6000,
PROS-00161,REP-0074,Granite Systems,51-200,Inbound Call,Cloud Storage,Q4 2025,2025-10-29,Lost,2,2025-11-16,6400,
PROS-00162,REP-0022,Drift Solutions,51-200,Inbound Call,Cloud Storage,Q1 2026,2026-01-20,Lost,4,2026-03-09,8300,
PROS-00163,REP-0062,Northgate Networks,51-200,Website Inquiry,Data Analytics,Q1 2026,2026-01-07,Dead,0,,15400,
PROS-00164,REP-0036,Ironclad Solutions,201-1000,Paid Marketing,Cloud Compute,Q4 2025,2025-10-25,Won,5,2025-11-22,20700,19400
PROS-00165,REP-0043,Helix Labs,1000-5000,Paid Marketing,Security Suite,Q4 2025,2025-12-12,Lost,3,2026-01-13,69200,
PROS-00166,REP-0006,Summit Systems,5000+,Conference,Security Suite,Q2 2026,2026-04-23,Lost,3,2026-06-30,210500,
PROS-00167,REP-0010,Horizon Digital,51-200,Paid Marketing,AI Platform,Q1 2026,2026-03-14,Dead,0,,80800,
PROS-00168,REP-0024,Catalyst Group,51-200,Cold Outreach,Security Suite,Q4 2025,2025-10-18,Lost,3,2025-10-31,18500,
PROS-00169,REP-0071,Helix Group,51-200,LinkedIn,Data Analytics,Q2 2026,2026-04-11,Dead,0,,22000,
PROS-00170,REP-0035,Helix Networks,5000+,Paid Marketing,Cloud Compute,Q1 2026,2026-03-31,Dead,1,,76900,
PROS-00171,REP-0086,Fusion Industries,51-200,LinkedIn,Cloud Compute,Q2 2026,2026-05-31,Open,1,,10900,
PROS-00172,REP-0083,Ironclad Technologies,201-1000,LinkedIn,Cloud Compute,Q1 2026,2026-01-19,Lost,5,2026-02-18,40900,
PROS-00173,REP-0108,Nova Networks,1-50,Inbound Call,AI Platform,Q1 2026,2026-01-18,Dead,0,,48900,
PROS-00174,REP-0031,Vertex Group,201-1000,LinkedIn,Security Suite,Q2 2026,2026-06-26,Open,2,,71200,
PROS-00175,REP-0007,Cobalt Partners,201-1000,Conference,Cloud Storage,Q1 2026,2026-01-24,Dead,0,,12700,
PROS-00176,REP-0094,Northgate Partners,51-200,Website Inquiry,Cloud Compute,Q1 2026,2026-02-06,Dead,1,,27700,
PROS-00177,REP-0096,Northgate Industries,1-50,Cold Outreach,Cloud Storage,Q4 2025,2025-11-25,Dead,0,,4900,
PROS-00178,REP-0107,Helix Works,51-200,Inbound Call,AI Platform,Q2 2026,2026-04-21,Won,3,2026-05-07,35800,34400
PROS-00179,REP-0066,Vertex Group,51-200,Paid Marketing,AI Platform,Q1 2026,2026-03-22,Dead,1,,104300,
PROS-00180,REP-0068,Beacon Industries,51-200,Cold Outreach,Cloud Compute,Q4 2025,2025-11-25,Dead,0,,28700,
PROS-00181,REP-0062,Helix Works,51-200,Paid Marketing,Cloud Storage,Q4 2025,2025-11-21,Lost,5,2025-12-12,7700,
PROS-00182,REP-0086,Anchor Labs,201-1000,Paid Marketing,Cloud Storage,Q4 2025,2025-12-28,Lost,3,2026-02-11,9700,
PROS-00183,REP-0064,Atlas Works,201-1000,Website Inquiry,AI Platform,Q4 2025,2025-11-01,Dead,0,,78900,
PROS-00184,REP-0066,Anchor Group,51-200,Paid Marketing,AI Platform,Q1 2026,2026-03-01,Won,4,2026-03-24,82400,97200
PROS-00185,REP-0109,Ember Labs,1-50,Cold Outreach,Cloud Compute,Q1 2026,2026-01-12,Dead,0,,9400,
PROS-00186,REP-0062,Granite Technologies,51-200,Inbound Call,AI Platform,Q2 2026,2026-04-28,Dead,0,,68100,
PROS-00187,REP-0088,Nimbus Technologies,1-50,Website Inquiry,Cloud Storage,Q1 2026,2026-03-29,Won,3,2026-04-12,8900,9200
PROS-00188,REP-0063,Meridian Partners,1-50,LinkedIn,AI Platform,Q2 2026,2026-06-10,Open,1,,34600,
PROS-00189,REP-0100,Vertex Holdings,51-200,Paid Marketing,Cloud Storage,Q1 2026,2026-01-06,Won,4,2026-01-21,10800,12000
PROS-00190,REP-0066,Fusion Digital,201-1000,Inbound Call,Security Suite,Q4 2025,2025-11-25,Won,5,2025-12-30,47200,56500
PROS-00191,REP-0011,Beacon Networks,1-50,Cold Outreach,Cloud Storage,Q4 2025,2025-12-19,Lost,2,2026-01-07,6500,
PROS-00192,REP-0095,Vantage Digital,1-50,LinkedIn,Data Analytics,Q2 2026,2026-05-27,Open,0,,28800,
PROS-00193,REP-0031,Ember Solutions,51-200,Referral,AI Platform,Q2 2026,2026-04-09,Dead,0,,50200,
PROS-00194,REP-0038,Meridian Digital,1000-5000,Cold Outreach,AI Platform,Q1 2026,2026-02-19,Lost,2,2026-03-26,82900,
PROS-00195,REP-0031,Horizon Technologies,201-1000,Inbound Call,Cloud Compute,Q1 2026,2026-03-07,Lost,2,2026-03-23,29300,
PROS-00196,REP-0008,Granite Technologies,51-200,Cold Outreach,AI Platform,Q2 2026,2026-06-23,Open,0,,28300,
PROS-00197,REP-0046,Helix Technologies,201-1000,Paid Marketing,Cloud Compute,Q2 2026,2026-06-08,Dead,0,,26300,
PROS-00198,REP-0066,Catalyst Networks,201-1000,Paid Marketing,Data Analytics,Q2 2026,2026-05-24,Lost,4,2026-06-29,27900,
PROS-00199,REP-0074,Pulse Systems,201-1000,Paid Marketing,Cloud Compute,Q1 2026,2026-03-25,Lost,5,2026-04-09,19100,
PROS-00200,REP-0093,Lattice Group,51-200,Inbound Call,Cloud Compute,Q2 2026,2026-05-09,Dead,0,,16200,
