startup,sector,city,round,amount_usd,year
PrimeAI,Gaming,Bengaluru,Pre-Series A,"$2,650,000",2023
Orbitpay,Edtech,Mumbai,Series A,"$6,850,000",2019
Loopwave,E-commerce,Gurugram,Seed,"$1,250,000",2020
Metakart,Fintech,Bengaluru,Series B,"$58,400,000",2023
Novabase,Cleantech,Pune,Seed,"$1,600,000",2022
Primegrid,Fintech,Delhi NCR,Seed,"$1,800,000",2020
Byteflow,Fintech,Mumbai,Pre-Series A,"$5,100,000",2024
Fluxgrid,SaaS,Gurugram,Series C,"$100,850,000",2024
Playpay,Fintech,Mumbai,Seed,"$1,150,000",2023
Peakkart,Healthtech,Delhi NCR,Series B,"$21,700,000",2019
Learnkart,SaaS,Delhi NCR,Series C,"$108,300,000",2023
Sarvworks,Edtech,Delhi NCR,Seed,"$1,600,000",2022
Peakly,E-commerce,Bengaluru,Pre-Series A,"$3,050,000",2021
Peakpay,AI/ML,Bengaluru,Series B,"$46,650,000",2023
Fluxhub,Logistics,Pune,Seed,"$800,000",2023
Primekart,E-commerce,Hyderabad,Seed,"$1,100,000",2019
Primely,SaaS,Noida,Seed,"$700,000",2020
Zenoworks,SaaS,Bengaluru,Seed,"$1,350,000",2021
Fluxkart,Edtech,Pune,Seed,"$1,250,000",2019
Kitekart,E-commerce,Noida,Pre-Series A,"$2,450,000",2020
Learnmint,E-commerce,Mumbai,Series C,"$70,750,000",2023
Fluxworks,AI/ML,Bengaluru,Series B,"$33,700,000",2023
Shopgrid,E-commerce,Hyderabad,Seed,"$1,000,000",2022
Loopgrid,AI/ML,Chennai,Series B,"$63,650,000",2022
Sarvhub,AI/ML,Chennai,Series B,"$41,400,000",2023
Primebase,SaaS,Delhi NCR,Series B,"$26,350,000",2024
Kitemint,E-commerce,Hyderabad,Series A,"$13,350,000",2024
Vaultworks,Fintech,Chennai,Series B,"$53,750,000",2022
Cashwave,E-commerce,Pune,Pre-Series A,"$5,650,000",2024
Fluxwave,AI/ML,Mumbai,Series C,"$133,300,000",2023
Zenomint,Fintech,Gurugram,Series A,"$15,450,000",2021
Carely,Gaming,Bengaluru,Series B,"$47,400,000",2021
Shipflow,AI/ML,Gurugram,Series A,"$10,550,000",2021
Credwave,Logistics,Delhi NCR,Series B,"$23,650,000",2022
Orbitmint,Logistics,Mumbai,Series C,"$72,350,000",2020
Unimint,Healthtech,Bengaluru,Pre-Series A,"$6,050,000",2024
CareAI,Healthtech,Hyderabad,Seed,"$1,700,000",2023
Novagrid,AI/ML,Bengaluru,Pre-Series A,"$6,550,000",2021
Fluxkart,Fintech,Delhi NCR,Pre-Series A,"$2,500,000",2020
Primekart,Healthtech,Gurugram,Seed,"$1,050,000",2021
Loopkart,SaaS,Noida,Series A,"$13,400,000",2021
Sarvpay,Edtech,Gurugram,Pre-Series A,"$3,650,000",2024
SarvAI,Fintech,Bengaluru,Series A,"$18,850,000",2023
Cashwave,Cleantech,Delhi NCR,Series A,"$11,250,000",2021
Peakmint,SaaS,Hyderabad,Seed,"$1,450,000",2021
Carehub,Healthtech,Mumbai,Seed,"$850,000",2019
Shopkart,Gaming,Chennai,Series A,"$10,800,000",2019
Looply,SaaS,Pune,Series B,"$30,250,000",2019
Metapay,Fintech,Delhi NCR,Series A,"$15,200,000",2022
Loopbase,Healthtech,Mumbai,Pre-Series A,"$4,350,000",2024
Cashpay,E-commerce,Mumbai,Pre-Series A,"$4,200,000",2023
Primeworks,AI/ML,Bengaluru,Seed,"$2,100,000",2022
Orbitgrid,Fintech,Mumbai,Seed,"$1,350,000",2021
Kitewave,E-commerce,Mumbai,Series C,"$109,900,000",2021
Peaklabs,AI/ML,Bengaluru,Pre-Series A,"$4,850,000",2022
Novaflow,Foodtech,Noida,Pre-Series A,"$2,900,000",2021
Orbitgrid,Fintech,Delhi NCR,Series B,"$43,350,000",2022
Cashwave,SaaS,Hyderabad,Pre-Series A,"$4,300,000",2019
Bytebase,Cleantech,Hyderabad,Series A,"$7,500,000",2019
Peakwave,AI/ML,Pune,Series A,"$21,200,000",2024
Sarvpay,E-commerce,Gurugram,Series A,"$10,950,000",2019
PrimeAI,E-commerce,Gurugram,Series B,"$25,700,000",2020
Bytepay,E-commerce,Mumbai,Seed,"$1,400,000",2020
Novaflow,Edtech,Hyderabad,Seed,"$900,000",2024
Shopmint,Healthtech,Delhi NCR,Series C,"$86,700,000",2022
Peakflow,Gaming,Bengaluru,Seed,"$1,700,000",2021
Fluxworks,AI/ML,Bengaluru,Series A,"$9,550,000",2019
Carekart,Edtech,Delhi NCR,Series B,"$28,900,000",2022
Vaultpay,Gaming,Hyderabad,Series A,"$15,000,000",2020
Metaly,E-commerce,Hyderabad,Series B,"$20,700,000",2020
Unimint,SaaS,Mumbai,Series B,"$42,500,000",2023
Metamint,Logistics,Mumbai,Seed,"$1,600,000",2023
Carebase,AI/ML,Mumbai,Pre-Series A,"$5,100,000",2023
Vaulthub,AI/ML,Chennai,Series A,"$26,200,000",2024
Novahub,Logistics,Bengaluru,Pre-Series A,"$4,500,000",2024
PeakAI,Logistics,Mumbai,Series A,"$13,850,000",2023
Bytemint,Fintech,Delhi NCR,Pre-Series A,"$3,550,000",2020
ShopAI,Fintech,Mumbai,Series A,"$23,850,000",2023
Primebase,SaaS,Hyderabad,Series B,"$42,500,000",2019
Peakgrid,Edtech,Pune,Pre-Series A,"$3,500,000",2019
Unimint,Edtech,Mumbai,Series D,"$161,750,000",2024
Sarvkart,Fintech,Hyderabad,Series B,"$57,550,000",2023
Primekart,SaaS,Mumbai,Pre-Series A,"$5,000,000",2021
Playlabs,Logistics,Mumbai,Series B,"$35,950,000",2021
Zenolabs,Foodtech,Mumbai,Series A,"$9,150,000",2019
Zenobase,E-commerce,Mumbai,Series C,"$112,600,000",2023
Shiphub,Cleantech,Bengaluru,Pre-Series A,"$3,400,000",2023
Primeworks,Healthtech,Hyderabad,Seed,"$750,000",2021
Credly,E-commerce,Chennai,Pre-Series A,"$4,550,000",2022
Fluxhub,SaaS,Bengaluru,Pre-Series A,"$5,100,000",2022
Byteflow,Fintech,Bengaluru,Series B,"$27,050,000",2019
Shipbase,Edtech,Pune,Series A,"$18,000,000",2022
Shipflow,Cleantech,Mumbai,Pre-Series A,"$3,600,000",2023
Metaflow,SaaS,Delhi NCR,Series C,"$82,100,000",2023
CashAI,Gaming,Gurugram,Pre-Series A,"$3,550,000",2020
Loopkart,Fintech,Bengaluru,Pre-Series A,"$4,900,000",2022
Uniwave,AI/ML,Hyderabad,Series A,"$20,550,000",2024
Bytegrid,Gaming,Bengaluru,Series B,"$38,650,000",2023
Shiply,SaaS,Mumbai,Series C,"$61,800,000",2022
OrbitAI,Logistics,Chennai,Seed,"$1,500,000",2022
Orbitkart,Foodtech,Noida,Series A,"$14,900,000",2021
Orbitkart,Healthtech,Mumbai,Series A,"$13,850,000",2019
Carebase,SaaS,Pune,Series B,"$29,050,000",2019
Unibase,Fintech,Hyderabad,Seed,"$2,300,000",2023
Kiteworks,AI/ML,Delhi NCR,Series B,"$60,550,000",2024
Playlabs,Healthtech,Bengaluru,Pre-Series A,"$4,400,000",2023
Kiteworks,Cleantech,Bengaluru,Series D,"$232,350,000",2022
Shipwave,Healthtech,Delhi NCR,Series A,"$10,400,000",2024
Zenoflow,Foodtech,Bengaluru,Series A,"$8,100,000",2021
Primeflow,Edtech,Mumbai,Pre-Series A,"$3,600,000",2020
Credworks,Fintech,Mumbai,Series B,"$64,500,000",2024
CareAI,Healthtech,Bengaluru,Pre-Series A,"$3,400,000",2023
Playkart,AI/ML,Mumbai,Series A,"$14,800,000",2024
Bytepay,E-commerce,Bengaluru,Series A,"$13,550,000",2022
Sarvhub,Logistics,Bengaluru,Seed,"$1,650,000",2023
ByteAI,Foodtech,Bengaluru,Series A,"$11,850,000",2020
Credworks,Logistics,Hyderabad,Series B,"$27,400,000",2020
Loopworks,Edtech,Delhi NCR,Seed,"$1,500,000",2024
Loopkart,Edtech,Gurugram,Series A,"$8,100,000",2020
Shoplabs,E-commerce,Bengaluru,Pre-Series A,"$3,250,000",2019
FluxAI,Cleantech,Bengaluru,Pre-Series A,"$4,800,000",2022
Cashbase,E-commerce,Mumbai,Seed,"$750,000",2019
Zenoly,SaaS,Bengaluru,Pre-Series A,"$2,850,000",2023
Shipgrid,Cleantech,Delhi NCR,Series A,"$10,200,000",2023
UniAI,AI/ML,Bengaluru,Seed,"$2,000,000",2023
Shopwave,Foodtech,Bengaluru,Seed,"$700,000",2019
Shiplabs,Healthtech,Bengaluru,Series A,"$13,700,000",2021
Unily,Gaming,Mumbai,Seed,"$1,150,000",2023
Sarvkart,Logistics,Bengaluru,Series B,"$32,950,000",2022
Sarvkart,Cleantech,Delhi NCR,Series B,"$31,750,000",2020
Learnmint,AI/ML,Pune,Pre-Series A,"$8,050,000",2023
Credgrid,Healthtech,Noida,Pre-Series A,"$2,500,000",2020
Orbitkart,E-commerce,Gurugram,Series B,"$27,900,000",2022
Shopwave,Fintech,Bengaluru,Pre-Series A,"$5,100,000",2020
Playmint,E-commerce,Delhi NCR,Series C,"$76,200,000",2021
Orbitly,Fintech,Bengaluru,Series A,"$17,600,000",2022
Credlabs,SaaS,Bengaluru,Pre-Series A,"$3,400,000",2021
Vaultwave,AI/ML,Bengaluru,Seed,"$2,400,000",2024
Shopkart,Healthtech,Bengaluru,Pre-Series A,"$2,350,000",2021
Metaworks,Edtech,Hyderabad,Series C,"$130,300,000",2023
Sarvmint,E-commerce,Bengaluru,Series A,"$8,500,000",2020
Novaflow,Edtech,Bengaluru,Pre-Series A,"$2,200,000",2021
PeakAI,Gaming,Bengaluru,Seed,"$1,550,000",2023
Primeworks,Edtech,Hyderabad,Seed,"$1,350,000",2022
Orbitwave,SaaS,Delhi NCR,Series C,"$124,050,000",2023
ByteAI,AI/ML,Pune,Series B,"$81,150,000",2023
Sarvkart,AI/ML,Gurugram,Series D,"$202,900,000",2021
Credmint,E-commerce,Bengaluru,Seed,"$750,000",2019
Carekart,Cleantech,Chennai,Series B,"$27,800,000",2024
FluxAI,Edtech,Hyderabad,Pre-Series A,"$4,150,000",2020
Loopflow,SaaS,Bengaluru,Series A,"$10,650,000",2020
Vaulthub,SaaS,Bengaluru,Seed,"$1,300,000",2019
Caregrid,Fintech,Hyderabad,Series C,"$118,050,000",2021
Carely,Fintech,Pune,Pre-Series A,"$2,600,000",2020
Shopgrid,Logistics,Gurugram,Series A,"$15,300,000",2021
Cashworks,Edtech,Noida,Seed,"$1,450,000",2024
Fluxwave,AI/ML,Gurugram,Seed,"$2,150,000",2021
Playgrid,SaaS,Mumbai,Pre-Series A,"$5,100,000",2021
Shipworks,Gaming,Chennai,Pre-Series A,"$5,000,000",2024
Loopwave,Fintech,Bengaluru,Seed,"$1,450,000",2020
Playflow,AI/ML,Mumbai,Pre-Series A,"$7,900,000",2023
Unikart,E-commerce,Pune,Pre-Series A,"$2,250,000",2019
Fluxlabs,Edtech,Mumbai,Pre-Series A,"$3,200,000",2023
Fluxhub,Logistics,Mumbai,Seed,"$1,700,000",2024
Orbitbase,Healthtech,Pune,Seed,"$1,200,000",2024
UniAI,Foodtech,Delhi NCR,Series D,"$268,200,000",2023
Peaklabs,Fintech,Mumbai,Series A,"$15,950,000",2021
Metaflow,SaaS,Gurugram,Seed,"$1,550,000",2020
Kitelabs,Edtech,Delhi NCR,Series B,"$23,350,000",2022
Playhub,Edtech,Hyderabad,Pre-Series A,"$6,200,000",2024
Unilabs,E-commerce,Delhi NCR,Pre-Series A,"$4,750,000",2022
Playworks,Logistics,Bengaluru,Pre-Series A,"$5,100,000",2022
Zenoly,Foodtech,Chennai,Series A,"$7,150,000",2020
Kiteflow,Fintech,Noida,Seed,"$2,000,000",2023
Shopwave,AI/ML,Hyderabad,Series C,"$201,500,000",2024
Carely,Gaming,Delhi NCR,Pre-Series A,"$3,500,000",2022
Shopgrid,E-commerce,Bengaluru,Seed,"$1,500,000",2020
Playbase,SaaS,Mumbai,Pre-Series A,"$4,050,000",2021
Shipflow,Logistics,Noida,Seed,"$1,150,000",2020
Playhub,SaaS,Pune,Seed,"$850,000",2022
Uniwave,E-commerce,Noida,Series B,"$36,450,000",2022
Bytemint,Healthtech,Pune,Series C,"$80,350,000",2023
Playly,SaaS,Bengaluru,Pre-Series A,"$6,150,000",2024
Peakwave,Fintech,Hyderabad,Series B,"$46,900,000",2023
Cashbase,Healthtech,Bengaluru,Seed,"$1,000,000",2023
Zenoworks,Foodtech,Hyderabad,Series A,"$16,800,000",2023
Kitebase,Fintech,Gurugram,Seed,"$1,150,000",2019
Sarvworks,Foodtech,Bengaluru,Series A,"$15,100,000",2022
Cashworks,Fintech,Mumbai,Series D,"$152,450,000",2021
Loopworks,AI/ML,Mumbai,Seed,"$2,150,000",2024
Uniflow,SaaS,Gurugram,Series D,"$294,150,000",2024
Metaly,SaaS,Mumbai,Series D,"$162,850,000",2022
Carely,Healthtech,Mumbai,Seed,"$1,400,000",2020
Caremint,Fintech,Noida,Series A,"$18,050,000",2020
Caregrid,AI/ML,Mumbai,Seed,"$2,700,000",2024
Sarvbase,Foodtech,Noida,Series D,"$120,950,000",2019
Orbitpay,AI/ML,Bengaluru,Series B,"$48,150,000",2023
Zenopay,Fintech,Delhi NCR,Series B,"$54,800,000",2021
Orbitlabs,Healthtech,Bengaluru,Series A,"$16,500,000",2024
Peakmint,E-commerce,Bengaluru,Series B,"$34,400,000",2021
Bytebase,E-commerce,Bengaluru,Series D,"$148,650,000",2020
Kitebase,SaaS,Chennai,Pre-Series A,"$3,100,000",2022
PlayAI,Logistics,Hyderabad,Series C,"$64,750,000",2022
Bytebase,Healthtech,Bengaluru,Series A,"$13,150,000",2022
Carebase,Fintech,Mumbai,Series A,"$14,750,000",2023
Sarvwave,Fintech,Hyderabad,Seed,"$1,250,000",2019
Metamint,SaaS,Mumbai,Series C,"$78,100,000",2021
Shopflow,Logistics,Mumbai,Seed,"$1,850,000",2023
Peakly,SaaS,Bengaluru,Pre-Series A,"$3,150,000",2020
SarvAI,Healthtech,Bengaluru,Pre-Series A,"$3,850,000",2021
Credpay,Edtech,Pune,Seed,"$1,150,000",2020
Kiteflow,AI/ML,Pune,Pre-Series A,"$6,200,000",2022
Carewave,SaaS,Mumbai,Series A,"$10,000,000",2022
Peakly,Fintech,Chennai,Seed,"$1,000,000",2023
Orbitly,Fintech,Bengaluru,Pre-Series A,"$4,300,000",2021
Sarvpay,SaaS,Gurugram,Seed,"$1,900,000",2023
Shoply,SaaS,Delhi NCR,Series B,"$51,300,000",2021
Kitemint,Healthtech,Delhi NCR,Pre-Series A,"$4,950,000",2023
Novamint,SaaS,Noida,Series C,"$55,600,000",2019
Fluxhub,Fintech,Hyderabad,Pre-Series A,"$2,250,000",2019
Carepay,Cleantech,Bengaluru,Series B,"$56,050,000",2023
Metaflow,SaaS,Bengaluru,Seed,"$1,300,000",2019
Orbitpay,Edtech,Bengaluru,Series C,"$64,350,000",2023
Vaultflow,Fintech,Bengaluru,Pre-Series A,"$3,300,000",2019
Novawave,Edtech,Delhi NCR,Seed,"$1,000,000",2021
Kitelabs,Edtech,Chennai,Seed,"$1,350,000",2023
Kitebase,Healthtech,Hyderabad,Series C,"$91,050,000",2019
Kitekart,Healthtech,Bengaluru,Seed,"$1,900,000",2023
OrbitAI,Healthtech,Bengaluru,Series A,"$18,400,000",2022
Cashpay,Healthtech,Delhi NCR,Seed,"$1,050,000",2019
Unigrid,AI/ML,Chennai,Series C,"$121,300,000",2021
Peaklabs,Foodtech,Pune,Series D,"$132,800,000",2020
Metabase,Healthtech,Bengaluru,Seed,"$900,000",2021
Learnwave,Fintech,Gurugram,Seed,"$2,100,000",2021
Carekart,E-commerce,Bengaluru,Pre-Series A,"$3,250,000",2021
Playgrid,Cleantech,Mumbai,Pre-Series A,"$2,650,000",2021
Shoply,Foodtech,Chennai,Series B,"$53,150,000",2022
Loopbase,Edtech,Bengaluru,Series A,"$17,700,000",2024
Playkart,SaaS,Bengaluru,Pre-Series A,"$4,550,000",2022
Primehub,Fintech,Mumbai,Pre-Series A,"$3,400,000",2021
Metapay,Foodtech,Pune,Series C,"$82,000,000",2019
Loopflow,Fintech,Mumbai,Series D,"$148,500,000",2020
Learnkart,Cleantech,Bengaluru,Series C,"$59,450,000",2023
Uniflow,AI/ML,Hyderabad,Seed,"$1,750,000",2021
Zenoflow,Gaming,Delhi NCR,Series B,"$23,950,000",2019
Fluxly,Gaming,Hyderabad,Series B,"$31,300,000",2019
Vaultpay,Healthtech,Mumbai,Seed,"$1,400,000",2020
PrimeAI,Edtech,Mumbai,Series B,"$35,600,000",2024
Unily,Edtech,Delhi NCR,Pre-Series A,"$4,450,000",2020
Sarvworks,Fintech,Pune,Pre-Series A,"$6,000,000",2022
Shopflow,AI/ML,Pune,Series B,"$68,650,000",2021
Orbitwave,Gaming,Delhi NCR,Series A,"$13,850,000",2021
Bytemint,Logistics,Bengaluru,Series C,"$64,200,000",2021
Primehub,E-commerce,Bengaluru,Series A,"$8,150,000",2019
Carehub,Cleantech,Delhi NCR,Series B,"$33,650,000",2019
Careflow,Healthtech,Mumbai,Series A,"$17,550,000",2023
Shipgrid,AI/ML,Hyderabad,Series A,"$16,250,000",2023
Vaultly,Fintech,Bengaluru,Series C,"$183,150,000",2024
Vaultlabs,Healthtech,Delhi NCR,Series A,"$19,550,000",2023
Playgrid,Healthtech,Bengaluru,Series C,"$94,150,000",2020
Credmint,E-commerce,Bengaluru,Series B,"$56,950,000",2023
Primemint,Fintech,Bengaluru,Seed,"$1,650,000",2022
Metaflow,E-commerce,Chennai,Series B,"$40,650,000",2021
Primebase,Fintech,Gurugram,Series A,"$16,450,000",2021
Vaulthub,Cleantech,Bengaluru,Seed,"$1,150,000",2021
SarvAI,Healthtech,Hyderabad,Seed,"$950,000",2022
Shipworks,Fintech,Hyderabad,Series A,"$9,600,000",2022
Sarvbase,Cleantech,Delhi NCR,Pre-Series A,"$4,700,000",2022
Learnflow,Fintech,Hyderabad,Seed,"$900,000",2021
NovaAI,Cleantech,Hyderabad,Series B,"$34,500,000",2022
Caregrid,Fintech,Delhi NCR,Seed,"$1,600,000",2021
