date,category,region,revenue,units,returns
2023-05-05,Grocery,South,2251.39,33,1
2023-05-06,Apparel,West,1193.99,4,1
2023-05-06,Electronics,West,60135.11,48,2
2023-05-07,Home,West,12708.22,27,1
2023-05-07,Grocery,West,2097.96,28,1
2023-05-07,Beauty,West,4697.24,39,9
2023-05-07,Beauty,North,6788.74,42,4
2023-05-08,Books,North,2880.52,59,4
2023-05-10,Beauty,South,7082.32,42,11
2023-05-10,Sports,South,20626.7,56,6
2023-05-12,Grocery,West,549.89,8,0
2023-05-12,Electronics,North,40990.77,49,3
2023-05-13,Electronics,North,44448.2,50,3
2023-05-15,Books,North,1361.63,38,2
2023-05-16,Electronics,East,12609.38,11,0
2023-05-17,Grocery,South,401.92,7,0
2023-05-17,Books,South,2021.16,34,2
2023-05-17,Books,South,3603.69,57,3
2023-05-18,Apparel,East,17364.58,59,10
2023-05-18,Apparel,West,10617.05,37,11
2023-05-18,Beauty,North,2615.47,17,4
2023-05-18,Apparel,North,6608.44,33,4
2023-05-18,Beauty,North,5287.55,45,9
2023-05-19,Books,North,1813.26,34,1
2023-05-19,Apparel,East,2197.95,9,2
2023-05-19,Books,East,2737.26,57,3
2023-05-20,Apparel,North,14334.19,52,10
2023-05-20,Books,East,1727.45,49,1
2023-05-21,Home,East,10859.82,29,2
2023-05-22,Books,West,2409.57,41,1
2023-05-24,Apparel,East,8352.84,51,10
2023-05-25,Apparel,North,4349.53,18,3
2023-05-25,Electronics,North,12156.55,10,0
2023-05-26,Books,South,3365.5,54,2
2023-05-27,Electronics,East,21493.85,22,1
2023-05-28,Electronics,East,40389.35,51,3
2023-05-29,Apparel,West,278.12,1,0
2023-05-30,Sports,South,18000.95,55,7
2023-05-30,Electronics,East,20729.95,23,1
2023-05-30,Grocery,South,659,9,0
2023-05-30,Home,South,10479.72,33,4
2023-05-30,Sports,West,3445.3,11,1
2023-05-31,Beauty,South,808.14,6,1
2023-05-31,Books,South,653.84,14,1
2023-06-01,Sports,North,1188.9,6,1
2023-06-01,Electronics,North,2900.04,4,0
2023-06-03,Sports,North,5325.73,19,2
2023-06-03,Apparel,North,9876.02,40,12
2023-06-03,Sports,West,5371.16,15,1
2023-06-03,Books,North,454.69,12,1
2023-06-04,Grocery,South,2521.12,31,0
2023-06-04,Books,North,1838.05,34,2
2023-06-05,Home,East,10982.43,36,2
2023-06-06,Sports,South,8116.91,25,2
2023-06-09,Home,South,16107.56,49,3
2023-06-10,Grocery,South,2920.25,47,1
2023-06-12,Home,West,4160.17,14,1
2023-06-12,Books,West,1349.64,21,1
2023-06-12,Apparel,West,11458.72,52,10
2023-06-14,Electronics,West,19684.03,24,1
2023-06-15,Books,North,1358.62,23,1
2023-06-15,Electronics,East,47322.01,58,3
2023-06-17,Books,North,94.1,2,0
2023-06-17,Sports,East,8075.04,28,2
2023-06-18,Beauty,East,756.64,5,1
2023-06-19,Electronics,West,44860.02,47,1
2023-06-19,Apparel,South,3714.28,14,2
2023-06-20,Grocery,North,2601.82,42,1
2023-06-20,Sports,South,5537.85,18,2
2023-06-22,Books,West,3070.56,53,4
2023-06-22,Home,East,17618.39,56,3
2023-06-25,Sports,South,6795.93,19,3
2023-06-25,Beauty,West,4162.06,30,6
2023-06-25,Grocery,East,3255.13,36,1
2023-06-26,Books,South,450.53,7,0
2023-06-27,Electronics,East,39359.38,33,2
2023-06-27,Grocery,West,3410.91,35,0
2023-06-27,Electronics,West,3403.57,4,0
2023-06-28,Apparel,East,4176.38,20,6
2023-06-28,Books,North,1289.94,35,2
2023-06-28,Electronics,West,27642.36,25,1
2023-06-29,Electronics,North,4612.5,5,0
2023-06-30,Books,East,1623.63,27,2
2023-07-01,Electronics,East,18385.62,16,1
2023-07-03,Books,West,565.56,9,1
2023-07-03,Sports,South,2306.93,8,1
2023-07-03,Home,East,9807.29,31,2
2023-07-04,Grocery,East,3966.01,42,1
2023-07-04,Grocery,North,860.11,13,0
2023-07-04,Grocery,South,1203.61,19,1
2023-07-04,Books,North,640.24,13,1
2023-07-04,Home,North,16460.06,60,4
2023-07-05,Sports,North,11911.55,48,7
2023-07-05,Home,North,3766.3,12,1
2023-07-06,Grocery,West,2572.46,42,1
2023-07-07,Apparel,West,10803.32,48,9
2023-07-08,Sports,South,16492.29,50,5
2023-07-11,Apparel,West,10509.62,36,10
2023-07-11,Home,North,2565.84,8,0
2023-07-12,Electronics,West,51985.57,45,2
2023-07-12,Apparel,South,4082.08,14,4
2023-07-13,Electronics,South,41767.29,50,1
2023-07-13,Grocery,East,3962.99,58,1
2023-07-13,Electronics,East,49261.41,49,2
2023-07-13,Sports,West,8138.94,28,4
2023-07-13,Home,West,2439.05,5,1
2023-07-14,Electronics,North,13701.59,18,1
2023-07-16,Books,West,1533.53,36,1
2023-07-18,Beauty,North,3636.8,29,6
2023-07-18,Apparel,East,2413.9,11,3
2023-07-19,Home,North,8815.69,19,2
2023-07-20,Apparel,East,12192.93,50,11
2023-07-21,Electronics,North,3539.02,3,0
2023-07-21,Beauty,South,9258.49,52,6
2023-07-22,Books,West,875.77,23,1
2023-07-22,Apparel,West,14282.75,53,8
2023-07-23,Beauty,South,3091.12,19,4
2023-07-23,Home,South,7139.65,17,2
2023-07-25,Apparel,North,6781.65,29,8
2023-07-25,Apparel,North,4979.44,24,5
2023-07-25,Grocery,West,3043.28,36,0
2023-07-26,Grocery,East,4639.82,60,2
2023-07-26,Apparel,North,12506.52,48,6
2023-07-26,Apparel,South,12378.31,60,9
2023-07-26,Grocery,South,3432.7,58,1
2023-07-26,Grocery,North,1467.29,26,0
2023-07-27,Beauty,East,3924.61,22,5
2023-07-27,Home,North,5647.5,14,1
2023-07-28,Apparel,East,5907.56,25,4
2023-07-28,Apparel,West,6969.84,33,5
2023-07-28,Beauty,North,7673.13,58,10
2023-07-30,Books,West,1126.07,29,1
2023-07-31,Grocery,North,2359.08,43,0
2023-07-31,Home,South,2796.31,8,1
2023-07-31,Beauty,West,9801.41,52,6
2023-08-01,Books,West,3160.62,55,3
2023-08-01,Books,West,1320.7,29,2
2023-08-01,Grocery,East,80.1,1,0
2023-08-02,Books,North,2311.42,49,2
2023-08-03,Electronics,South,4742.76,4,0
2023-08-03,Sports,South,13123.52,43,4
2023-08-03,Apparel,South,15037.88,52,13
2023-08-04,Electronics,East,49521.22,59,1
2023-08-04,Sports,North,2104.53,7,0
2023-08-04,Sports,North,7091.13,32,5
2023-08-04,Home,North,1252.55,4,0
2023-08-05,Sports,East,7941.23,27,2
2023-08-05,Apparel,North,4438.33,23,3
2023-08-05,Beauty,South,1551.42,14,2
2023-08-06,Apparel,North,5067.23,24,7
2023-08-07,Electronics,South,11339.42,10,1
2023-08-07,Apparel,South,3781.9,13,2
2023-08-08,Electronics,South,22832.18,22,1
2023-08-08,Beauty,North,1887.48,11,2
2023-08-10,Apparel,South,11896.25,38,8
2023-08-10,Home,South,14269.29,28,3
2023-08-11,Grocery,South,2981.43,36,1
2023-08-12,Books,West,2290.82,40,1
2023-08-12,Apparel,South,1136.72,6,1
2023-08-14,Beauty,North,8936.7,55,14
2023-08-15,Books,North,3153.54,59,2
2023-08-15,Books,North,2224.59,41,3
2023-08-17,Books,North,1735.86,39,1
2023-08-18,Home,North,14336.63,43,3
2023-08-19,Beauty,North,2366.3,20,3
2023-08-19,Home,South,12832.9,31,3
2023-08-19,Apparel,North,397.47,2,0
2023-08-22,Electronics,North,27762.66,33,2
2023-08-22,Sports,West,18476.1,51,4
2023-08-22,Beauty,West,2138.45,11,2
2023-08-24,Electronics,North,16061.74,14,0
2023-08-25,Books,West,2430.19,57,4
2023-08-25,Grocery,North,109.42,2,0
2023-08-26,Beauty,South,7020.27,60,12
2023-08-26,Books,West,1251.25,19,1
2023-08-27,Grocery,North,4141.64,47,1
2023-08-28,Electronics,West,69963.68,51,1
2023-08-29,Electronics,South,35276.54,36,2
2023-08-29,Apparel,South,718.99,3,0
2023-08-29,Sports,South,10654.78,31,2
2023-08-30,Books,East,643.84,19,1
2023-08-30,Books,North,2646.02,54,2
2023-08-30,Beauty,West,7996.47,40,5
2023-08-31,Electronics,South,44290.95,37,1
2023-09-01,Books,South,2668.12,42,2
2023-09-02,Electronics,West,30712.16,36,1
2023-09-02,Home,East,2223.57,7,0
2023-09-04,Beauty,East,2723.08,20,4
2023-09-04,Grocery,North,583.3,7,0
2023-09-05,Grocery,West,183.4,2,0
2023-09-06,Home,East,17692.62,51,6
2023-09-06,Beauty,South,2745.73,17,4
2023-09-07,Sports,North,4824.51,17,1
2023-09-09,Home,West,316.11,1,0
2023-09-10,Apparel,West,1572.68,6,1
2023-09-11,Home,South,12244.78,23,2
2023-09-12,Electronics,West,15596.48,20,0
2023-09-13,Books,North,3155.32,53,4
2023-09-13,Books,East,1524,26,1
2023-09-13,Beauty,South,4924.53,39,8
2023-09-13,Home,East,7927.71,26,2
2023-09-15,Electronics,North,30315.02,39,1
2023-09-16,Grocery,East,1621.04,22,0
2023-09-17,Beauty,North,4299.34,35,6
2023-09-17,Books,South,716.17,15,1
2023-09-17,Apparel,South,1701.82,5,1
2023-09-18,Home,South,10876.78,26,1
2023-09-18,Apparel,North,9871.28,59,15
2023-09-19,Electronics,North,27029.53,25,1
2023-09-20,Apparel,South,9384.22,29,6
2023-09-20,Books,East,989.3,24,1
2023-09-21,Home,North,15115.97,51,5
2023-09-22,Books,South,696.12,14,1
2023-09-23,Home,South,1075.99,2,0
2023-09-23,Grocery,South,3844.47,40,1
2023-09-23,Home,North,15591.81,46,4
2023-09-25,Grocery,West,3807.63,38,1
2023-09-25,Home,East,5387.22,14,1
2023-09-25,Grocery,West,2308.14,28,1
2023-09-26,Electronics,South,2884.65,3,0
2023-09-27,Electronics,West,29314.64,35,1
2023-09-29,Electronics,North,43577.52,35,1
2023-09-29,Home,West,9243.14,18,1
2023-09-29,Home,West,23305.9,48,3
2023-09-30,Beauty,West,1861.97,15,3
2023-10-03,Books,South,463.06,9,1
2023-10-03,Apparel,West,3973.02,20,3
2023-10-04,Beauty,East,7325.18,55,10
2023-10-04,Apparel,East,1079.72,5,1
2023-10-04,Home,South,7037.61,16,1
2023-10-05,Beauty,North,3723.34,27,4
2023-10-05,Grocery,South,472.76,5,0
2023-10-05,Grocery,West,3331.77,36,1
2023-10-07,Grocery,East,2982.75,32,0
2023-10-07,Electronics,South,23034.88,27,1
2023-10-09,Apparel,North,4645.22,24,7
2023-10-11,Sports,East,6827.64,30,4
2023-10-12,Grocery,South,4572.44,41,1
2023-10-13,Beauty,South,6264.33,31,7
2023-10-15,Beauty,South,2400.67,14,3
2023-10-16,Apparel,East,7986.78,32,9
2023-10-16,Electronics,South,6147.8,5,0
2023-10-17,Books,South,2753.13,52,4
2023-10-18,Books,South,1052.4,16,1
2023-10-21,Electronics,East,11569.06,15,0
2023-10-22,Apparel,North,2076.45,12,4
2023-10-23,Home,South,13913.71,31,2
2023-10-24,Sports,North,8686.83,27,3
2023-10-25,Sports,South,17197.27,53,4
2023-10-25,Beauty,West,5670.35,41,5
2023-10-27,Home,West,10796.44,31,3
2023-10-27,Home,East,14988.86,35,4
2023-10-28,Home,West,3172.77,9,1
2023-10-30,Apparel,West,12063.69,56,9
2023-10-31,Beauty,South,7224.62,36,8
2023-11-03,Beauty,East,1542.82,15,4
2023-11-04,Books,South,92.45,2,0
2023-11-06,Electronics,North,39198.13,43,1
2023-11-06,Home,South,5161.9,11,1
2023-11-07,Electronics,West,36761.27,35,1
2023-11-08,Electronics,North,15582.58,21,1
2023-11-09,Grocery,South,2477.29,28,1
2023-11-09,Books,West,688.79,11,0
2023-11-09,Home,North,9405.66,21,2
2023-11-11,Apparel,West,579.19,2,0
2023-11-11,Beauty,East,4457.82,38,10
2023-11-12,Sports,North,701.48,2,0
2023-11-13,Home,South,10535.91,23,2
2023-11-14,Sports,South,21235.37,54,4
2023-11-14,Home,South,12645.85,35,4
2023-11-14,Beauty,East,9428.07,55,8
2023-11-15,Sports,South,6900.99,27,3
2023-11-15,Beauty,East,1196.74,8,2
2023-11-15,Beauty,East,2099.5,15,3
2023-11-16,Electronics,East,36582.04,30,2
2023-11-17,Home,East,5929.88,22,1
2023-11-19,Beauty,East,916.28,9,1
2023-11-19,Home,North,10949.4,24,1
2023-11-19,Sports,West,3137.17,9,1
2023-11-20,Sports,West,6296.29,23,2
2023-11-21,Beauty,West,7572.87,48,10
2023-11-22,Beauty,West,4161.63,25,5
2023-11-23,Apparel,South,12960.66,39,11
2023-11-24,Apparel,North,5009.55,21,7
2023-11-24,Beauty,North,3681.08,23,3
2023-11-24,Sports,West,13789.19,33,2
2023-11-25,Home,North,13805.13,34,2
2023-11-25,Apparel,East,10920.64,50,13
2023-11-27,Books,East,765.81,19,1
2023-11-27,Apparel,North,787.67,4,1
2023-11-28,Books,North,166.21,3,0
2023-11-28,Apparel,North,3215.23,18,3
2023-11-29,Electronics,North,12797.04,11,0
2023-11-30,Beauty,South,6654.36,39,9
2023-12-01,Electronics,North,25944,35,1
2023-12-03,Apparel,East,4789.75,27,4
2023-12-03,Home,East,15843.12,39,4
2023-12-04,Grocery,East,4049.35,60,1
2023-12-04,Beauty,West,2362.65,16,2
2023-12-04,Books,West,935.1,22,1
2023-12-05,Beauty,South,4076.93,30,3
2023-12-05,Apparel,North,7833.48,30,9
2023-12-05,Grocery,East,1957.65,22,0
2023-12-06,Sports,South,5504.75,13,2
2023-12-06,Books,West,314.91,7,0
2023-12-07,Home,North,7654.54,16,2
2023-12-07,Beauty,West,371.43,3,1
2023-12-08,Sports,South,16028.88,55,8
2023-12-09,Electronics,South,2768.69,2,0
2023-12-09,Beauty,West,2210.9,18,4
2023-12-10,Grocery,North,1247.22,13,0
2023-12-10,Apparel,South,13214.83,41,10
2023-12-11,Home,North,21346.59,49,4
2023-12-12,Beauty,East,7966.84,44,5
2023-12-12,Electronics,North,36234.72,29,1
2023-12-13,Books,West,2663.58,36,2
2023-12-14,Books,East,1619.98,33,1
2023-12-14,Books,South,1147.6,23,1
2023-12-14,Grocery,East,3945.45,51,1
2023-12-14,Grocery,North,388.51,5,0
2023-12-14,Beauty,West,4790.69,24,4
2023-12-15,Books,East,901.53,17,1
2023-12-15,Beauty,North,4862.19,46,7
2023-12-18,Electronics,North,33501.57,30,1
2023-12-18,Apparel,South,4916.22,15,3
2023-12-20,Beauty,North,8495.37,51,9
2023-12-20,Sports,North,247.71,1,0
2023-12-20,Beauty,West,2679.36,13,2
2023-12-21,Apparel,East,7184.17,29,8
2023-12-22,Home,North,2140.2,7,1
2023-12-22,Home,South,25173.25,50,4
2023-12-23,Grocery,West,3482.36,41,1
2023-12-23,Grocery,West,2633.99,38,1
2023-12-27,Sports,West,4674.85,12,1
2023-12-27,Home,South,28942.53,52,4
2023-12-28,Sports,South,15948.47,42,4
2023-12-29,Sports,West,4342.24,13,1
2023-12-31,Sports,North,17135.87,55,6
2024-01-03,Electronics,North,30052.93,37,2
2024-01-03,Electronics,West,37175.59,40,2
2024-01-04,Apparel,North,10372.5,47,12
2024-01-05,Home,South,15377.72,35,3
2024-01-05,Sports,East,8909.85,30,3
2024-01-06,Beauty,East,1030.43,6,1
2024-01-06,Apparel,North,577.11,2,0
2024-01-06,Home,South,13115.72,33,2
2024-01-07,Books,North,1419.4,33,1
2024-01-07,Books,North,175.26,4,0
2024-01-09,Home,North,4829.99,16,1
2024-01-10,Grocery,East,2479.63,43,1
2024-01-12,Sports,North,9319.05,34,5
2024-01-12,Books,South,261.09,5,0
2024-01-14,Apparel,East,6164.37,28,5
2024-01-16,Beauty,East,1860.63,11,2
2024-01-16,Home,East,10914.21,26,3
2024-01-16,Beauty,North,7772.89,56,12
2024-01-18,Home,East,6595.15,14,1
2024-01-18,Books,West,509.13,10,1
2024-01-19,Electronics,East,8604.83,11,0
2024-01-21,Home,North,3104.94,10,0
2024-01-22,Sports,East,1709.47,6,1
2024-01-23,Home,West,2080.19,4,0
2024-01-24,Beauty,West,2750.81,14,1
2024-01-25,Electronics,West,39472.14,41,1
2024-01-26,Apparel,West,13341.81,56,11
2024-01-26,Grocery,South,3901.68,54,1
2024-01-27,Home,North,6212.65,17,2
2024-01-28,Sports,East,18061.99,56,5
2024-01-28,Home,North,314.12,1,0
2024-02-01,Electronics,North,35219.87,31,2
2024-02-01,Electronics,North,24639.34,21,1
2024-02-02,Books,North,1784.1,39,2
2024-02-03,Grocery,East,1176.93,21,0
2024-02-03,Sports,East,6636.74,23,1
2024-02-03,Beauty,South,2211.55,15,3
2024-02-03,Apparel,East,2618.84,11,2
2024-02-03,Books,South,2653.69,37,2
2024-02-05,Apparel,West,7503.32,23,5
2024-02-07,Beauty,North,7607.98,42,5
2024-02-09,Apparel,South,888.82,4,0
2024-02-09,Beauty,West,3805.76,17,4
2024-02-09,Sports,South,7272.69,24,2
2024-02-09,Home,East,15133.42,43,5
2024-02-09,Grocery,East,2121.81,27,1
2024-02-09,Beauty,North,805.49,5,1
2024-02-10,Beauty,West,4882.91,39,10
2024-02-10,Books,West,477.81,10,0
2024-02-11,Home,North,15506.57,41,2
2024-02-13,Grocery,North,5398.25,59,2
2024-02-13,Sports,East,14232.48,56,7
2024-02-14,Electronics,North,10600.95,15,0
2024-02-14,Grocery,South,5642.3,52,1
2024-02-14,Grocery,East,1273.79,18,1
2024-02-14,Sports,North,19929.21,60,3
2024-02-15,Grocery,West,4638.55,47,1
2024-02-15,Apparel,East,2154.21,7,2
2024-02-15,Apparel,South,9656.67,28,9
2024-02-15,Electronics,West,58210.49,51,1
2024-02-17,Books,North,840.93,21,1
2024-02-17,Home,South,19390.44,59,3
2024-02-18,Grocery,North,362.8,5,0
2024-02-20,Sports,East,9138.41,35,3
2024-02-20,Sports,South,16354.22,47,7
2024-02-20,Sports,South,15086.14,34,5
2024-02-21,Apparel,East,1062.08,4,0
2024-02-21,Grocery,South,2381.21,27,0
2024-02-21,Grocery,North,3442.64,57,1
2024-02-21,Books,South,1901.71,40,2
2024-02-22,Electronics,South,7960.24,8,0
2024-02-22,Grocery,North,3882.98,41,1
2024-02-22,Beauty,North,2733.72,19,4
2024-02-23,Beauty,South,2234.82,11,3
2024-02-24,Electronics,East,49089.8,48,2
2024-02-24,Apparel,North,10277.39,47,11
2024-02-24,Books,North,2260.67,46,2
2024-02-24,Grocery,West,3443.88,52,1
2024-02-25,Electronics,West,41879.85,41,2
2024-02-26,Apparel,North,8341.13,43,13
2024-02-27,Books,West,3903.74,55,3
2024-02-27,Home,North,4602.1,17,2
2024-02-28,Home,North,6409.76,13,1
2024-02-28,Electronics,West,12847.41,11,0
2024-02-29,Beauty,South,8585.94,57,10
2024-02-29,Books,West,822.82,13,1
2024-03-01,Grocery,West,2117.91,25,1
2024-03-02,Electronics,South,67510.77,60,3
2024-03-03,Home,South,22761.8,55,6
2024-03-03,Grocery,South,3744.24,52,1
2024-03-04,Sports,West,21929.43,49,7
2024-03-04,Electronics,South,60906.2,47,1
2024-03-05,Electronics,West,8307.71,9,0
2024-03-05,Beauty,South,10559.62,55,13
2024-03-06,Apparel,West,6035.44,23,7
2024-03-06,Electronics,West,21331.83,25,1
2024-03-07,Grocery,North,252.66,4,0
2024-03-07,Home,South,26575.92,58,6
2024-03-08,Grocery,North,439.28,5,0
2024-03-08,Electronics,West,58249.36,47,1
2024-03-08,Home,East,21942.21,59,3
2024-03-09,Grocery,North,555.03,6,0
2024-03-09,Grocery,West,3453.39,32,0
2024-03-11,Grocery,North,2524.28,30,1
2024-03-14,Apparel,West,16383.13,56,10
2024-03-17,Apparel,North,15282.7,51,15
2024-03-17,Books,West,2942.52,38,3
2024-03-18,Electronics,North,7797.07,10,0
2024-03-19,Home,West,26532.57,47,3
2024-03-19,Books,North,1620.03,39,2
2024-03-19,Beauty,South,4544.86,28,5
2024-03-19,Books,South,1512.16,19,1
2024-03-20,Grocery,West,1582.34,20,0
2024-03-20,Home,North,14482.37,53,5
2024-03-20,Books,North,1021.62,19,1
2024-03-22,Electronics,East,54656.23,48,2
2024-03-22,Books,South,2669.9,58,3
2024-03-22,Books,North,1669.62,34,1
2024-03-23,Apparel,West,844.3,4,1
2024-03-23,Sports,North,1112.9,4,0
2024-03-24,Grocery,South,2775.37,33,1
2024-03-25,Apparel,North,289.17,1,0
2024-03-26,Sports,North,6975.96,31,4
2024-03-27,Electronics,South,9275.95,10,0
2024-03-28,Books,North,1147.8,25,2
2024-03-29,Electronics,South,51447.45,55,2
2024-03-29,Home,North,12385.21,41,5
2024-03-31,Books,West,3099.45,41,3
2024-03-31,Books,East,535.81,10,0
