dept,tenure,salary_band,performance,attrited
Operations,8.9,Band E,3,No
HR,6.4,Band D,4,No
Finance,9,Band B,3,No
Engineering,5.7,Band B,4,No
Sales,8.3,Band A,5,No
HR,9.5,Band C,3,No
Support,8.6,Band A,4,Yes
Sales,5.5,Band D,2,No
Support,9.7,Band A,4,No
Sales,7.2,Band C,3,No
HR,9.7,Band D,4,No
Support,0.7,Band B,3,Yes
Sales,4,Band E,3,No
Support,3.3,Band A,3,Yes
Support,6.3,Band E,3,No
HR,9.5,Band B,5,No
Sales,4,Band A,5,No
Marketing,2.4,Band C,4,No
Engineering,6.2,Band B,5,No
Operations,9.2,Band D,5,No
Marketing,7.7,Band A,4,No
Operations,5.5,Band B,1,No
Engineering,8.9,Band A,2,No
Engineering,7.4,Band D,3,No
Finance,8.8,Band A,4,No
Operations,8.5,Band D,3,Yes
Sales,4.9,Band A,3,No
Support,4,Band B,3,No
Support,6.3,Band C,2,No
Operations,7.9,Band A,5,No
Support,3.3,Band A,3,Yes
Marketing,6.4,Band B,2,No
Sales,1.6,Band B,4,No
Finance,0.6,Band C,4,No
Finance,3.6,Band C,4,No
Finance,2.5,Band B,4,No
Marketing,3.3,Band B,5,No
Operations,5,Band C,4,No
Support,5.4,Band B,2,No
Operations,5.6,Band D,5,No
HR,6.9,Band B,4,No
Marketing,0.3,Band C,3,No
Finance,7.4,Band B,4,No
Marketing,6.7,Band B,3,No
Support,0.9,Band A,3,No
Marketing,5.9,Band B,3,No
Marketing,5.6,Band A,3,No
Sales,2.8,Band E,4,Yes
Support,8.8,Band B,3,Yes
Support,3.3,Band A,4,Yes
Finance,0.3,Band C,3,No
Operations,5.2,Band D,3,No
Support,5.6,Band A,4,No
Sales,3.5,Band B,2,No
Sales,9.5,Band C,4,No
Engineering,1.2,Band E,3,No
Marketing,2.8,Band D,4,No
Engineering,9,Band C,4,No
Marketing,1.6,Band E,3,No
Sales,5.3,Band C,5,No
Marketing,0.8,Band A,4,Yes
Operations,3.4,Band A,3,No
Finance,0.3,Band B,4,No
HR,5.4,Band E,4,No
Finance,6,Band C,1,No
Marketing,8,Band D,3,Yes
Support,0.4,Band D,5,Yes
Engineering,1.1,Band A,4,Yes
HR,9.2,Band C,4,No
Marketing,9,Band B,4,No
HR,8.2,Band B,4,No
Operations,0.9,Band C,2,Yes
Marketing,5.6,Band B,4,No
HR,8.2,Band C,4,No
Marketing,1.1,Band C,3,No
Finance,1.4,Band C,2,No
HR,7.2,Band E,2,No
Engineering,8.5,Band B,3,No
Marketing,6.1,Band A,4,No
Marketing,9.3,Band B,2,No
Support,8,Band C,4,Yes
Finance,2.2,Band A,4,No
Sales,8.8,Band B,4,Yes
Engineering,6.2,Band A,4,No
Operations,1.6,Band D,4,No
Operations,7.4,Band D,5,Yes
HR,5.9,Band A,3,No
HR,6,Band A,3,No
Sales,9.1,Band C,3,No
Operations,2.3,Band A,4,Yes
Operations,6.7,Band B,3,No
Engineering,9.1,Band B,3,No
HR,8.4,Band B,4,No
Sales,6.2,Band A,3,No
Marketing,6.8,Band A,3,No
Operations,5.4,Band C,5,No
Operations,2.2,Band A,4,No
Engineering,9.4,Band A,3,No
Operations,2.1,Band B,3,No
HR,5.5,Band C,5,No
Operations,6,Band C,3,No
HR,3.3,Band A,5,Yes
Engineering,4.8,Band C,5,No
Support,8.2,Band A,4,No
Marketing,5,Band A,4,No
Finance,8.5,Band B,4,No
Operations,7.5,Band B,3,No
HR,3.9,Band B,4,No
Sales,1.2,Band E,5,Yes
HR,5.3,Band B,3,No
Finance,8.7,Band E,2,No
Finance,3.7,Band C,5,No
Support,5.1,Band B,4,No
Sales,4.7,Band A,3,No
Finance,6.8,Band C,4,No
Sales,4.4,Band C,4,No
Engineering,7.4,Band B,4,No
HR,9,Band A,4,No
HR,9.7,Band E,4,No
Operations,8.7,Band B,3,No
Finance,4.9,Band B,4,No
Engineering,0.5,Band D,4,Yes
Finance,2.4,Band B,1,No
Operations,1.9,Band A,3,No
HR,7.2,Band D,3,No
Engineering,3.7,Band C,4,No
Operations,3.3,Band C,2,Yes
Finance,9.4,Band A,3,No
Finance,4.3,Band A,2,Yes
Support,6.5,Band C,2,No
Support,7.5,Band A,3,No
Support,0.8,Band B,2,Yes
Operations,4.7,Band B,5,No
Marketing,0.3,Band D,2,Yes
Operations,1.1,Band E,2,Yes
Finance,2.4,Band E,4,No
Marketing,4,Band A,5,No
Operations,1.9,Band D,5,No
Engineering,8,Band D,5,No
Finance,2.6,Band A,1,No
Operations,4,Band C,3,No
Finance,8.6,Band A,5,No
Finance,5.5,Band B,3,No
Sales,5.7,Band D,3,No
Finance,8.1,Band A,5,No
Sales,4.4,Band A,3,Yes
Operations,1.5,Band A,4,No
Marketing,4.7,Band D,4,No
HR,1.7,Band B,4,No
Engineering,6.1,Band C,4,No
Operations,8.5,Band B,3,No
Marketing,7.6,Band B,4,No
Sales,1.8,Band B,2,Yes
Marketing,7.3,Band A,1,No
Finance,1.9,Band C,3,No
Operations,7.4,Band B,2,No
Sales,1.7,Band C,5,No
Marketing,6,Band A,2,Yes
Support,7.4,Band C,2,Yes
Sales,4,Band B,3,Yes
Marketing,7.1,Band A,5,No
HR,2.9,Band B,4,No
Operations,9.6,Band E,4,No
Sales,6.2,Band A,3,No
Finance,1.5,Band A,3,No
Marketing,5.5,Band A,2,Yes
Sales,9,Band C,3,No
Support,9.5,Band A,2,Yes
Sales,2.4,Band C,3,Yes
Support,6.9,Band D,3,No
Marketing,3.2,Band D,3,No
Marketing,3.7,Band B,5,No
Sales,1.8,Band C,4,No
Engineering,8.9,Band B,4,No
Engineering,5.9,Band A,5,No
Marketing,0.5,Band D,5,Yes
Support,5.3,Band B,2,Yes
Engineering,1.9,Band A,1,No
HR,4.3,Band B,3,No
Finance,6.5,Band E,3,No
Marketing,8.9,Band B,3,No
Engineering,1.7,Band E,4,No
Engineering,6.9,Band E,5,No
Engineering,6.9,Band C,4,No
Engineering,1.8,Band B,3,No
Support,7.1,Band B,3,Yes
Finance,6.1,Band A,4,No
Finance,5.3,Band D,4,No
Operations,2,Band D,2,No
Sales,5.9,Band B,2,No
HR,9.3,Band B,5,No
Marketing,1.2,Band C,3,No
Finance,3.8,Band E,4,No
Sales,2.6,Band D,4,No
Sales,4.5,Band B,3,No
Support,9,Band B,1,No
Support,8.6,Band C,4,No
Finance,8.7,Band B,3,No
HR,8,Band E,4,No
Operations,3.2,Band A,1,Yes
Support,7.5,Band B,5,No
Operations,0.7,Band B,4,No
HR,4.8,Band B,3,No
Support,5.5,Band B,4,Yes
Engineering,2.9,Band A,3,No
Marketing,5.2,Band B,3,No
HR,3.3,Band E,2,No
Operations,6.1,Band B,2,Yes
Sales,2,Band C,2,No
Sales,0.5,Band D,2,Yes
Marketing,0.6,Band B,4,Yes
Operations,3,Band A,4,No
HR,8.4,Band C,3,No
Engineering,4.1,Band A,1,No
Finance,2.5,Band B,3,Yes
Marketing,0.7,Band B,4,Yes
Engineering,8.7,Band D,2,No
Marketing,7.3,Band B,5,No
Operations,1.6,Band B,2,Yes
Support,6.9,Band C,3,Yes
Finance,1.7,Band E,3,Yes
HR,0.6,Band A,1,No
Operations,0.6,Band D,1,Yes
Engineering,0.5,Band A,4,No
Marketing,0.3,Band B,4,No
Sales,5.1,Band E,3,Yes
Engineering,1.3,Band C,3,Yes
Marketing,8.8,Band C,3,No
Operations,3.5,Band A,4,No
Operations,4.1,Band D,4,No
HR,3.5,Band A,3,No
Sales,9.5,Band C,1,Yes
Operations,2.6,Band A,4,No
HR,6.8,Band D,3,No
Support,2.6,Band B,3,No
HR,4.3,Band A,3,No
Sales,4.2,Band C,4,Yes
Marketing,1,Band D,2,Yes
Marketing,7.7,Band E,3,No
Sales,0.9,Band C,1,No
Engineering,8.7,Band E,4,No
Finance,4,Band A,4,Yes
Operations,4.1,Band C,3,Yes
HR,6.5,Band B,4,No
Support,9,Band A,5,No
Finance,0.8,Band A,5,Yes
Finance,6.3,Band D,2,Yes
Operations,3.4,Band A,3,No
Sales,4.2,Band A,5,No
Finance,7.7,Band B,4,No
Finance,3.6,Band C,3,Yes
Engineering,4,Band B,3,No
Sales,9.6,Band B,4,Yes
Marketing,6.3,Band C,5,No
Engineering,1.7,Band D,3,No
Sales,2.3,Band A,4,No
Operations,5.8,Band D,2,No
Operations,2.1,Band E,3,No
Operations,5,Band A,2,Yes
Sales,3.8,Band B,3,No
HR,0.5,Band A,2,No
Engineering,5.9,Band D,4,No
HR,0.2,Band E,4,No
Marketing,2.3,Band E,3,No
Support,4.6,Band D,2,No
Sales,5.2,Band B,4,No
Marketing,7.8,Band C,5,No
Engineering,2.1,Band D,3,No
Operations,6.5,Band A,3,No
Operations,9.2,Band D,3,No
Support,7.5,Band C,2,No
Engineering,5.8,Band B,3,No
HR,3.6,Band A,3,No
Finance,0.7,Band A,3,No
Marketing,7.3,Band E,5,No
Sales,3.1,Band A,3,Yes
Support,2.5,Band A,3,No
HR,2.5,Band A,3,No
HR,2.2,Band A,3,Yes
Marketing,3.7,Band A,2,Yes
Engineering,7.1,Band D,3,Yes
Sales,0.8,Band C,3,No
HR,8.2,Band B,4,No
Sales,8.4,Band C,4,No
Operations,4.7,Band B,4,No
HR,6.8,Band D,3,No
HR,5.3,Band B,3,No
HR,9.2,Band A,4,No
HR,2.2,Band A,1,Yes
Sales,2,Band C,3,No
Sales,1.3,Band B,3,No
Sales,1.4,Band C,3,Yes
Marketing,8.5,Band E,2,No
Engineering,6.1,Band C,3,No
Marketing,8.8,Band A,3,No
Support,4.5,Band B,4,No
Sales,2.3,Band A,1,Yes
HR,1.9,Band A,4,No
Sales,9.4,Band B,3,No
Support,5,Band D,3,No
Sales,3.6,Band D,5,Yes
HR,9.4,Band A,5,No
Finance,3.3,Band A,4,No
Operations,2.3,Band C,4,No
HR,1.7,Band C,3,No
Finance,5.9,Band A,4,No
Sales,8,Band A,4,No
Support,2,Band A,3,No
Sales,9.5,Band B,3,No
Support,3.3,Band A,5,No
HR,1.1,Band A,4,Yes
Marketing,4.4,Band A,4,Yes
Support,8,Band D,2,No
Marketing,4.2,Band E,3,No
Engineering,5.1,Band B,2,No
Support,7.2,Band C,4,No
Operations,5.6,Band C,3,No
Support,2.8,Band C,4,No
Support,1.8,Band D,3,No
Finance,2.8,Band C,3,No
Support,7.2,Band C,2,Yes
HR,1.9,Band A,4,Yes
Support,1.3,Band A,5,No
Marketing,6.9,Band C,5,No
Engineering,3.2,Band A,5,No
Sales,5.9,Band B,3,Yes
Engineering,7,Band A,4,No
Marketing,2.6,Band A,4,No
Marketing,2.5,Band E,2,No
Support,3.9,Band B,2,Yes
HR,5.7,Band E,4,No
Operations,3.1,Band B,3,Yes
HR,6.8,Band B,3,No
Finance,2.6,Band A,4,No
Engineering,5.7,Band B,3,No
Finance,3.5,Band C,3,No
Sales,5.8,Band E,2,No
HR,8.1,Band B,3,No
Engineering,3.1,Band C,4,No
HR,7.8,Band B,4,No
Operations,7.6,Band C,3,No
Support,7.3,Band B,4,No
Marketing,5.7,Band D,3,Yes
Finance,4.4,Band B,4,No
HR,1,Band C,4,No
Marketing,9.2,Band A,3,No
Operations,6.3,Band A,5,No
Marketing,7.3,Band D,2,No
Marketing,1.5,Band E,3,No
Sales,2.2,Band B,2,Yes
Marketing,2.5,Band B,2,No
Marketing,3.5,Band C,3,No
Operations,6.2,Band D,5,No
Support,7.5,Band D,3,No
Marketing,0.9,Band E,3,No
Support,8,Band D,4,No
Engineering,4.8,Band D,3,No
HR,8.7,Band C,3,No
HR,9.1,Band B,2,No
Support,3.3,Band D,3,No
HR,7.3,Band A,2,No
Engineering,9.5,Band B,4,No
Marketing,1.6,Band B,1,No
Sales,3.3,Band D,2,No
HR,3.6,Band C,5,No
Engineering,3.6,Band D,4,No
HR,7,Band A,5,No
Sales,3.3,Band E,1,No
Finance,0.7,Band B,4,No
Marketing,9.6,Band C,3,No
Finance,2.6,Band D,3,No
Support,4.1,Band A,4,No
Engineering,0.4,Band B,3,Yes
Engineering,4.2,Band C,5,No
Support,1.7,Band E,3,No
Engineering,9.3,Band C,3,No
Marketing,0.4,Band B,3,No
Operations,1.7,Band C,3,No
HR,1.5,Band A,4,No
HR,4.7,Band B,5,No
Sales,7.4,Band A,3,Yes
Engineering,2.3,Band C,4,No
Support,5.9,Band A,5,No
HR,1.4,Band D,5,No
HR,0.2,Band C,4,No
HR,7.7,Band A,2,No
Sales,6.8,Band D,1,No
Marketing,8.2,Band B,3,No
HR,7,Band B,4,No
Marketing,2,Band C,1,No
Finance,4.1,Band A,4,No
Engineering,9.1,Band D,3,No
Finance,5.2,Band C,4,No
Finance,1.7,Band A,2,No
Engineering,5.1,Band B,4,No
Finance,5.4,Band E,4,Yes
Sales,1.1,Band A,3,Yes
Finance,3.5,Band A,2,Yes
Engineering,4.3,Band B,2,Yes
Marketing,9.6,Band C,2,No
Operations,3.5,Band C,2,Yes
Finance,3.9,Band C,4,No
Finance,9.7,Band A,1,Yes
Support,7.9,Band A,2,Yes
HR,1,Band B,5,No
Operations,2.8,Band E,5,No
Support,1.5,Band A,4,Yes
Support,6.7,Band A,4,No
HR,2.5,Band C,3,No
HR,1.2,Band A,4,Yes
Operations,7.8,Band C,4,No
Support,0.4,Band E,3,No
Engineering,7.7,Band A,4,No
Engineering,3.2,Band D,1,No
Engineering,7.7,Band A,3,No
Finance,2.4,Band A,3,No
Support,7.7,Band D,4,No
Engineering,8.4,Band B,4,No
Marketing,7.6,Band A,3,No
Sales,3.5,Band C,3,No
Finance,0.8,Band A,5,No
Operations,2.4,Band C,1,Yes
Operations,8,Band B,4,No
Operations,7.2,Band C,4,No
Engineering,7,Band B,3,No
Support,1,Band D,2,No
Finance,7,Band A,2,No
Support,9.3,Band B,3,No
HR,6.3,Band D,2,No
Engineering,6.7,Band D,4,Yes
Support,2.7,Band A,3,No
HR,8.1,Band E,4,No
HR,8.1,Band A,3,Yes
Sales,4.9,Band A,4,No
Operations,6.4,Band A,4,No
HR,5,Band D,3,No
Marketing,9.7,Band A,3,No
Sales,6.2,Band C,5,Yes
Support,1.4,Band B,3,No
Operations,9.4,Band D,3,No
HR,5.9,Band A,3,No
Sales,5,Band B,5,Yes
Sales,1.4,Band B,3,No
Finance,7.5,Band A,3,No
Support,7,Band B,3,No
Engineering,3.1,Band C,4,No
Support,2.6,Band D,3,Yes
Sales,4.2,Band E,2,No
Finance,0.4,Band B,2,Yes
Engineering,2.4,Band B,4,No
Marketing,5.8,Band B,4,No
Engineering,0.2,Band C,3,No
Engineering,5.5,Band E,4,No
Support,8.8,Band A,4,No
Engineering,2.3,Band A,4,No
Sales,2.7,Band B,3,No
Support,9.4,Band D,4,No
Operations,3.1,Band C,2,No
Support,8.7,Band E,5,No
HR,3.8,Band D,3,No
Support,1,Band B,3,Yes
Sales,0.7,Band A,3,No
Support,4.5,Band C,2,Yes
Sales,4.8,Band E,4,No
Operations,2.8,Band C,5,No
Engineering,1,Band C,3,No
Sales,3.1,Band A,2,No
Engineering,9.1,Band E,5,No
Engineering,9.4,Band A,4,No
HR,3.6,Band D,3,No
Support,0.4,Band A,3,Yes
Finance,3.1,Band C,2,Yes
Engineering,4.3,Band E,5,No
Support,9.4,Band C,4,Yes
Sales,7,Band C,5,No
Operations,9.7,Band A,3,No
Support,8.2,Band B,3,Yes
Operations,2.3,Band E,3,No
Engineering,6.7,Band B,2,No
Finance,6,Band D,5,No
HR,0.2,Band D,3,No
Operations,4.9,Band E,5,Yes
Engineering,1.1,Band E,4,No
Support,8.7,Band D,4,No
Marketing,9.3,Band A,5,No
Support,5.5,Band E,4,Yes
HR,4.6,Band D,4,No
Finance,4.6,Band C,3,No
Support,7.3,Band A,3,No
Support,9.1,Band C,3,No
HR,5.9,Band A,3,No
Finance,5.7,Band C,1,Yes
Engineering,0.3,Band B,3,Yes
HR,4.9,Band C,5,No
Engineering,6.2,Band D,3,No
HR,8.1,Band B,4,No
Operations,8.1,Band A,2,Yes
Engineering,8.3,Band C,5,No
Support,6.7,Band C,5,No
HR,1.7,Band A,3,No
Engineering,3.7,Band B,2,No
Marketing,6.8,Band C,4,No
Operations,4.7,Band C,3,No
Operations,0.8,Band B,5,Yes
Engineering,5.6,Band E,5,No
HR,2.7,Band A,4,No
Operations,7.3,Band D,5,No
Sales,4.4,Band D,3,No
HR,1.2,Band B,3,Yes
Engineering,3,Band B,5,No
Support,8,Band C,3,No
Finance,9.6,Band A,4,No
Engineering,2.1,Band C,4,No
Operations,8.5,Band D,5,No
Sales,2.6,Band E,2,Yes
Sales,5.7,Band E,3,No
Operations,3.2,Band C,3,No
Operations,8.7,Band B,3,No
Sales,2.4,Band B,4,Yes
HR,8.2,Band A,2,No
Engineering,3.9,Band D,4,Yes
Support,2.6,Band B,3,No
Engineering,2.6,Band D,3,No
Finance,2.1,Band A,3,No
Marketing,3.8,Band C,3,No
Marketing,4.4,Band D,4,No
Engineering,3.2,Band C,4,No
Sales,2.1,Band D,4,No
HR,2.7,Band C,4,No
Sales,2.6,Band B,3,Yes
Finance,2.3,Band D,4,No
HR,9.3,Band E,4,No
Finance,8.6,Band C,4,No
Marketing,5.2,Band C,3,No
Marketing,5.8,Band D,4,No
Engineering,1.5,Band E,4,No
Marketing,9,Band B,3,No
Support,3.3,Band A,5,No
Sales,5,Band A,5,No
Marketing,5.4,Band B,3,No
Engineering,6.7,Band B,3,No
Marketing,8.6,Band C,5,No
Support,6,Band B,5,No
HR,7.5,Band C,2,Yes
HR,2.8,Band D,3,No
Finance,6.1,Band A,4,No
Finance,3.4,Band A,3,No
Support,5.8,Band C,4,Yes
Operations,9.3,Band C,4,No
Marketing,9.4,Band B,2,Yes
Sales,2,Band D,4,Yes
Support,2.9,Band D,4,No
Sales,3,Band B,4,No
HR,3.1,Band A,5,No
Finance,4.3,Band A,3,No
Marketing,2.9,Band A,3,No
Marketing,5.3,Band E,3,No
Engineering,0.6,Band E,4,No
Support,9.5,Band B,5,No
HR,2,Band B,5,No
HR,3.1,Band A,3,No
Marketing,3.2,Band A,3,No
Finance,2.1,Band C,2,No
HR,5.9,Band C,3,No
Finance,9.3,Band C,5,No
Sales,2.6,Band A,2,No
Support,3.6,Band D,3,No
Sales,5,Band A,3,No
HR,1.6,Band D,3,No
Operations,5.3,Band E,2,No
Marketing,6.2,Band C,3,No
Support,3.1,Band B,4,No
Support,9.2,Band B,3,No
Marketing,5.7,Band E,3,No
Sales,9,Band A,3,No
Marketing,1.1,Band A,2,No
Finance,1,Band C,2,No
Sales,4.3,Band A,4,No
Operations,1.2,Band A,3,Yes
Operations,6.3,Band A,1,No
Operations,4.1,Band B,3,No
HR,1.4,Band B,2,Yes
HR,8.7,Band A,3,No
Engineering,5.5,Band E,3,No
Sales,6.1,Band A,5,No
Support,7.6,Band B,2,No
Sales,3.1,Band B,2,No
Finance,5.3,Band D,2,No
Finance,5.6,Band A,3,No
Operations,2.2,Band D,3,No
Engineering,0.5,Band A,3,No
Finance,3.7,Band B,4,No
Marketing,1.2,Band B,4,Yes
Marketing,8.7,Band E,5,No
Operations,9,Band A,3,No
Marketing,2.5,Band E,2,No
HR,5.6,Band E,4,No
Finance,0.7,Band C,4,No
Sales,3.1,Band A,3,Yes
Operations,8.1,Band A,2,No
Sales,2.6,Band A,4,Yes
Engineering,1.4,Band D,5,Yes
Operations,8.6,Band A,4,No
Sales,3,Band E,4,No
HR,7.7,Band C,5,No
Support,8.1,Band B,2,No
Operations,1.9,Band B,4,No
Marketing,1.7,Band A,2,No
Finance,3.2,Band B,4,No
Marketing,7.5,Band A,4,No
Marketing,6.9,Band A,2,Yes
Operations,9.3,Band E,4,No
Support,8.2,Band C,3,Yes
Operations,2.6,Band B,2,No
Marketing,9.1,Band C,4,No
Operations,2.3,Band C,3,No
Marketing,2.7,Band C,4,No
Support,0.2,Band A,3,Yes
HR,8.2,Band C,3,No
Sales,4.6,Band D,3,No
Sales,7.1,Band B,4,No
Engineering,1.5,Band B,3,No
Engineering,8.3,Band A,2,Yes
Sales,5.9,Band D,4,No
Engineering,6.9,Band B,3,No
Operations,3.9,Band A,5,No
Operations,8.9,Band B,1,No
Engineering,6.3,Band A,2,No
Operations,4.8,Band B,1,No
Marketing,2.2,Band D,3,No
HR,7.9,Band D,3,No
Engineering,9,Band A,4,No
Operations,4.5,Band D,2,No
Engineering,5.3,Band D,4,No
Finance,7.5,Band C,4,No
HR,9.2,Band C,2,No
Marketing,2.6,Band B,3,Yes
HR,5.9,Band C,3,No
Finance,4.9,Band E,3,No
Finance,8.3,Band E,3,No
Operations,8.3,Band B,4,No
Support,2.3,Band A,3,No
Marketing,0.5,Band A,4,No
Engineering,2.3,Band A,3,No
Support,8.4,Band B,3,No
Marketing,9,Band B,2,Yes
Engineering,4.1,Band A,3,Yes
Sales,1.3,Band D,3,Yes
Operations,4.9,Band B,3,No
Finance,1.5,Band D,3,No
Engineering,3.2,Band E,4,No
Sales,6.8,Band B,3,No
Marketing,3,Band D,5,No
Sales,3.5,Band D,3,Yes
Marketing,8.1,Band A,3,No
Engineering,3.9,Band B,3,No
Marketing,2.7,Band D,3,Yes
Marketing,6.8,Band D,4,No
Operations,8.8,Band A,1,No
Sales,7.5,Band B,4,No
Support,0.9,Band C,3,No
Marketing,2.7,Band E,3,Yes
Support,4.9,Band B,3,No
Support,5,Band B,5,Yes
Marketing,3.3,Band C,3,No
Engineering,9.4,Band E,4,No
Finance,5.3,Band D,3,No
Finance,7.7,Band B,2,No
Engineering,9.6,Band B,5,No
Sales,9.1,Band A,3,No
Marketing,8.2,Band C,4,No
Operations,7.6,Band A,3,Yes
Sales,8.5,Band C,4,No
HR,1.6,Band B,4,No
Engineering,6.7,Band C,4,No
HR,5.3,Band A,2,No
Operations,6.3,Band D,3,No
Operations,3.2,Band B,3,No
Finance,2,Band C,2,No
Marketing,6,Band B,4,No
Support,9.3,Band B,2,No
Engineering,3.5,Band E,1,Yes
Engineering,6.1,Band C,3,No
Engineering,4.8,Band B,2,Yes
Support,0.4,Band C,5,No
Engineering,8.5,Band A,4,Yes
Sales,6.2,Band A,3,No
Finance,2,Band D,2,Yes
Sales,0.3,Band B,3,Yes
Finance,7.7,Band A,4,No
HR,9.4,Band C,4,No
Finance,4.2,Band A,5,No
Support,7.3,Band B,3,No
Support,0.6,Band A,5,No
Operations,6.5,Band D,3,Yes
Sales,2.5,Band B,5,No
Sales,4.7,Band C,3,No
Support,7.6,Band C,4,No
Sales,6.1,Band A,5,Yes
Support,7,Band D,4,No
Support,2.1,Band E,3,No
Support,2.6,Band E,2,Yes
Operations,5.8,Band D,3,Yes
Engineering,6.2,Band B,4,No
Marketing,1.3,Band A,3,Yes
Sales,0.7,Band C,5,Yes
Engineering,8.7,Band A,3,No
Sales,8.7,Band A,4,Yes
Marketing,7.6,Band B,1,No
Engineering,2.5,Band B,2,No
Operations,6,Band D,4,No
Support,3.9,Band A,4,No
Marketing,9.3,Band B,5,No
Operations,1.3,Band D,3,Yes
Finance,7,Band E,5,No
Operations,7.6,Band B,5,No
Operations,4.1,Band A,3,No
Finance,6,Band B,3,Yes
Engineering,1.7,Band A,4,No
HR,7.3,Band B,4,No
Finance,3,Band A,1,No
Finance,9.1,Band E,1,No
Marketing,5.3,Band A,3,No
Marketing,2.6,Band B,3,No
Engineering,8,Band E,3,Yes
Support,8.2,Band C,3,No
Engineering,8.8,Band B,3,No
Marketing,0.9,Band A,2,Yes
Marketing,2.4,Band E,3,Yes
Support,9.5,Band B,2,No
Finance,7.8,Band A,3,No
